date,open,high,low,close,adjusted_close,volume
2010-01-04,9.92,10.13,9.79,10.04,9.8757,1692409
2010-01-05,10.04,10.04,9.8,9.93,9.7675,1459200
2010-01-06,9.9,9.97,9.69,9.93,9.7675,1072862
2010-01-07,9.87,9.98,9.73,9.8,9.6396,2052705
2010-01-08,9.78,9.85,9.52,9.58,9.4232,1398951
2010-01-11,9.61,9.65,9.29,9.3,9.1478,1570755
2010-01-12,9.3,9.32,8.965,9.14,8.9904,1666540
2010-01-13,9.16,9.21,8.85,8.96,8.8133,3644412
2010-01-14,8.97,9.0,8.87,8.98,8.833,1101941
2010-01-15,9.03,9.15,8.91,9.14,8.9904,1682905
2010-01-19,9.19,9.325,9.1,9.28,9.1281,1929294
2010-01-20,9.2,9.28,9.0,9.25,9.0986,1465620
2010-01-21,9.28,9.28,8.73,8.8,8.656,2489307
2010-01-22,8.73,8.87,8.45,8.49,8.351,4160796
2010-01-25,8.56,8.75,8.36,8.62,8.4789,3592059
2010-01-26,8.59,8.77,8.43,8.5,8.3609,1005844
2010-01-27,8.49,8.506,8.26,8.34,8.2035,2403841
2010-01-28,8.34,8.44,8.18,8.33,8.1937,2357152
2010-01-29,8.3,8.43,8.01,8.01,7.8789,1727023
2010-02-01,8.06,8.44,8.05,8.38,8.2428,1466805
2010-02-02,8.37,8.61,8.25,8.46,8.3215,1936949
2010-02-03,8.42,8.5,8.15,8.31,8.174,1483961
2010-02-04,8.18,8.2,7.29,7.38,7.2592,4219016
2010-02-05,7.33,7.43,7.13,7.38,7.2592,2973683
2010-02-08,7.38,7.53,7.25,7.41,7.2887,2475625
2010-02-09,7.54,7.81,7.34,7.54,7.4166,1830916
2010-02-10,7.5,7.6,7.18,7.28,7.1608,1747284
2010-02-11,7.25,7.3,7.03,7.08,6.9641,2456190
2010-02-12,7.03,7.095,6.99,7.07,6.9543,1658684
2010-02-16,7.14,7.2,7.03,7.14,7.0231,1078672
2010-02-17,7.15,7.21,7.02,7.16,7.0428,981614
2010-02-18,7.14,7.17,6.93,7.02,6.9051,1175079
2010-02-19,6.96,7.06,6.87,7.03,6.9149,2765114
2010-02-22,7.09,7.46,6.99,7.44,7.3182,2207566
2010-02-23,7.44,7.47,7.235,7.29,7.1707,991161
2010-02-24,7.3,7.46,7.25,7.36,7.2395,1566181
2010-02-25,7.23,7.32,7.03,7.28,7.1608,1366504
2010-02-26,7.27,7.6,7.21,7.55,7.4264,1162258
2010-03-01,7.57,7.97,7.5625,7.8,7.6723,1881715
2010-03-02,7.86,8.15,7.8,8.02,7.8887,2345234
2010-03-03,8.04,8.19,7.67,7.76,7.633,1626948
2010-03-04,7.73,7.93,7.68,7.87,7.7412,713907
2010-03-05,8.0,8.31,7.92,8.28,8.1445,1420571
2010-03-08,8.29,8.35,8.11,8.18,8.0461,633507
2010-03-09,8.11,8.49,8.11,8.39,8.2527,939282
2010-03-10,8.38,8.64,8.29,8.5,8.3609,1249432
2010-03-11,8.29,8.52,8.11,8.47,8.3314,556767
2010-03-12,8.48,8.5,8.26,8.42,8.2822,528678
2010-03-15,8.34,8.42,8.13,8.25,8.115,713005
2010-03-16,8.29,8.31,8.17,8.25,8.115,330795
2010-03-17,8.25,8.33,8.17,8.25,8.115,567855
2010-03-18,8.25,8.3,8.11,8.14,8.0068,396578
2010-03-19,8.17,8.28,7.94,7.96,7.8297,836166
2010-03-22,7.88,8.15,7.83,7.97,7.8395,878975
2010-03-23,8.0,8.41,8.0,8.39,8.2527,1027042
2010-03-24,8.35,8.49,8.25,8.46,8.3215,1103379
2010-03-25,8.52,8.7,8.41,8.41,8.2723,1027800
2010-03-26,8.37,8.65,8.31,8.4,8.2625,695058
2010-03-29,8.5,9.1,8.41,9.0,8.8527,2384036
2010-03-30,9.05,9.44,9.02,9.4,9.2461,3247257
2010-03-31,9.37,9.62,9.17,9.38,9.2265,1734517
2010-04-01,9.51,9.56,9.26,9.27,9.1183,1441956
2010-04-05,9.3,9.64,9.26,9.6,9.4429,1275260
2010-04-06,9.56,9.795,9.48,9.74,9.5806,2087834
2010-04-07,9.65,10.0,9.65,9.83,9.6691,1754803
2010-04-08,9.69,9.86,9.39,9.82,9.6593,2041240
2010-04-09,9.83,10.48,9.76,10.46,10.2888,3694668
2010-04-12,10.37,10.45,10.16,10.2,10.0331,1985716
2010-04-13,10.22,10.5402,10.12,10.47,10.2986,1782919
2010-04-14,10.5,10.84,10.42,10.78,10.6036,1507986
2010-04-15,10.71,11.05,10.71,10.94,10.7609,2355909
2010-04-16,10.86,11.0199,10.53,10.63,10.456,1306635
2010-04-19,10.53,10.8,10.53,10.73,10.5544,1309628
2010-04-20,10.77,10.93,10.54,10.73,10.5544,2109674
2010-04-21,10.75,10.76,10.345,10.7,10.5249,1882229
2010-04-22,10.65,12.605,10.45,12.51,12.3052,6919963
2010-04-23,12.49,13.35,12.42,13.14,12.9249,3902535
2010-04-26,13.08,13.94,13.08,13.82,13.5938,3153322
2010-04-27,13.75,13.95,13.13,13.22,13.0036,3916809
2010-04-28,13.35,13.83,13.12,13.3,13.0823,1827379
2010-04-29,13.33,14.69,13.33,14.46,14.2233,4978510
2010-04-30,14.44,14.79,14.33,14.36,14.125,2752800
2010-05-03,14.48,14.7,14.31,14.59,14.3512,1403662
2010-05-04,14.27,14.27,13.7,13.9,13.6725,2395653
2010-05-05,13.59,13.8,13.14,13.3,13.0823,2699278
2010-05-06,13.13,13.6,11.37,12.58,12.3741,1824185
2010-05-07,12.6,12.75,11.99,12.12,11.9216,2860680
2010-05-10,12.58,13.48,12.58,13.34,13.1217,1794598
2010-05-11,13.1,13.9,12.88,13.46,13.2397,1740367
2010-05-12,13.51,14.29,13.51,14.01,13.7807,2087505
2010-05-13,14.01,14.5491,13.91,14.2,13.9676,1554081
2010-05-14,14.02,14.12,13.27,13.56,13.3381,1534440
2010-05-17,13.66,13.92,12.92,13.38,13.161,1138442
2010-05-18,13.5,13.84,13.17,13.31,13.0921,1464867
2010-05-19,13.43,13.43,12.37,12.61,12.4036,2051297
2010-05-20,12.15,12.42,11.61,11.61,11.42,3012985
2010-05-21,11.4,12.21,11.2,11.81,11.6167,2038250
2010-05-24,11.77,12.28,11.77,11.89,11.6954,1600188
2010-05-25,11.34,11.51,10.88,11.51,11.3216,2319033
2010-05-26,11.55,12.17,11.51,11.7,11.5085,1302520
2010-05-27,12.05,12.41,11.85,12.41,12.2069,1229129
2010-05-28,12.33,12.61,12.08,12.15,11.9511,1409361
