date,open,high,low,close,adjusted_close,volume
2017-10-18,18.5,18.52,18.5,18.5,13.3756,8227502
2017-10-19,18.5,18.57,18.5,18.5,13.3756,550484
2017-10-20,18.25,19.0,18.0,18.0,13.0141,155577
2017-10-23,18.0,18.0,18.0,18.0,13.0141,349
2017-10-24,18.7,18.7,18.65,18.65,13.4841,287571
2017-10-25,18.6,18.65,18.6,18.65,13.4841,100127
2017-10-26,18.6,18.65,18.5,18.5,13.3756,160091
2017-10-27,18.0,18.585,18.0,18.54,13.4045,2133104
2017-10-31,18.5,18.5,18.4,18.5,13.3756,43330
2017-11-01,18.25,18.5,18.25,18.5,13.3756,57558
2017-11-02,18.5,18.5,18.25,18.5,13.3756,14760
2017-11-03,18.52,18.54,18.52,18.54,13.4045,370000
2017-11-06,18.55,18.55,18.52,18.55,13.4118,2745114
2017-11-07,18.5,18.61,18.5,18.58,13.4335,410946
2017-11-08,18.55,18.6,18.5,18.55,13.4118,24316
2017-11-09,18.55,18.55,18.55,18.55,13.4118,679
2017-11-10,18.5,18.75,18.45,18.5,13.3756,3621672
2017-11-13,18.45,18.75,18.45,18.5,13.3756,76362
2017-11-14,18.5,18.5,18.35,18.35,13.2672,218457
2017-11-15,18.25,18.5,18.25,18.5,13.3756,677508
2017-11-16,18.5,18.6,18.5,18.5,13.3756,152501
2017-11-17,18.65,18.7,18.5,18.55,13.4118,373494
2017-11-20,18.65,18.65,18.55,18.6,13.4479,312873
2017-11-21,18.75,18.75,18.65,18.75,13.5564,872552
2017-11-22,18.65,18.75,18.65,18.75,13.5564,1140544
2017-11-27,18.75,18.8,18.75,18.8,13.5925,6972
2017-11-28,18.8,19.0,18.8,19.0,13.7371,874646
2017-11-29,19.05,19.05,19.05,19.05,13.7733,230115
2017-11-30,19.0,19.75,19.0,19.75,14.2794,317469
2017-12-01,19.75,20.5,19.75,19.78,14.3011,600841
2017-12-04,20.0,20.75,19.5,20.0,14.4601,633824
2017-12-05,20.05,21.0,19.85,21.0,15.1831,301513
2017-12-06,19.85,19.92,19.85,19.85,14.3517,1035005
2017-12-07,20.0,20.0,19.65,19.8,14.3155,591002
2017-12-08,19.8,19.88,19.8,19.8,14.3155,385096
2017-12-11,19.8,19.81,19.75,19.81,14.3228,347860
2017-12-12,19.75,19.81,19.75,19.81,14.3228,144448
2017-12-13,19.82,19.85,19.7,19.85,14.3517,29863
2017-12-14,19.9,20.0,19.85,20.0,14.4601,343450
2017-12-15,19.95,20.0,19.95,20.0,14.4601,18468
2017-12-18,20.0,20.1,19.95,20.0,14.4601,15757
2017-12-19,19.95,20.0,19.95,19.975,14.4421,15001
2017-12-20,20.0,20.4,20.0,20.0,14.4601,29359
2017-12-21,20.0,20.5,20.0,20.5,14.8216,5647
2017-12-22,20.5,20.75,20.0,20.2,14.6047,26936
2017-12-26,20.0,20.0,20.0,20.0,14.4601,1096
2017-12-27,20.5,20.5,20.5,20.5,14.8216,120
2017-12-29,20.5,21.0,19.95,20.5,14.8216,48885
2018-01-02,20.0,20.6,19.95,20.1,14.5324,427900
2018-01-03,20.5,20.6,20.0,20.16,14.5758,231300
2018-01-04,20.15,20.5,20.1,20.2,14.6047,447800
2018-01-05,20.2,20.2,20.15,20.2,14.6047,78300
2018-01-08,20.2,20.2,20.05,20.2,14.6047,59200
2018-01-09,20.2,20.21,20.0,20.21,14.612,224700
2018-01-10,19.9,20.2,19.9,20.0,14.4601,367500
2018-01-11,20.0,20.0,19.85,20.0,14.4601,37800
2018-01-12,20.0,20.0,19.5,19.99,14.4529,1109300
2018-01-16,20.5,22.99,20.5,21.5,15.5446,2005000
2018-01-17,21.25,21.3,21.25,21.28,15.3856,233000
2018-01-18,21.25,21.35,20.984,21.0,15.1831,634400
2018-01-19,20.85,21.0,20.75,20.75,15.0024,955700
2018-01-22,20.75,22.99,20.3,22.99,16.6219,3600
2018-01-23,21.0,21.5,21.0,21.0,15.1831,127300
2018-01-24,20.75,21.1,19.5,21.0,15.1831,20000
2018-01-25,21.15,21.15,20.93,20.93,15.1325,73500
2018-01-26,21.0,21.1,21.0,21.1,15.2554,5000
2018-01-29,20.6,21.1,20.6,21.1,15.2554,24900
