date,open,high,low,close,adjusted_close,volume
2010-01-04,17.2386,17.9281,17.0987,17.8782,10.2881,14133690
2010-01-05,18.108,18.5577,17.9581,18.3379,10.5527,15625920
2010-01-06,18.3778,19.0074,18.148,18.7976,10.8172,15445580
2010-01-07,18.7676,19.0374,18.3683,18.9375,10.8977,11041250
2010-01-08,18.9175,18.9674,18.5127,18.6776,10.7482,12719340
2010-01-11,18.8475,18.9175,18.2079,18.4978,10.6447,9989624
2010-01-12,18.158,18.2679,17.7782,18.198,10.4722,9734743
2010-01-13,18.188,18.188,17.6483,18.0481,10.3859,14936820
2010-01-14,18.0481,18.3578,17.8882,18.2579,10.5067,8611654
2010-01-15,18.2379,18.7776,18.138,18.7576,10.7942,19631170
2010-01-19,18.7376,18.9175,18.5577,18.8575,10.8517,12357370
2010-01-20,18.6776,19.2073,18.6077,19.1074,10.9955,17579660
2010-01-21,19.0674,19.1973,18.5177,18.8875,10.869,13362500
2010-01-22,18.6776,18.7376,18.078,18.168,10.4549,14046460
2010-01-25,18.3179,18.5377,18.0381,18.3379,10.5527,9856542
2010-01-26,18.2479,19.0374,18.168,19.0074,10.938,20511340
2010-01-27,18.8275,19.0474,18.3179,18.6776,10.7482,23312301
2010-01-28,18.6377,18.7676,17.9881,18.4178,10.5987,14683410
2010-01-29,18.4478,19.0374,18.3778,18.4078,10.5929,14936570
2010-02-01,18.6477,19.1773,18.6377,19.1473,11.0185,11998010
2010-02-02,19.1973,19.2972,18.8076,19.2473,11.076,11526040
2010-02-03,18.9175,19.1373,18.6277,18.9275,10.892,8147224
2010-02-04,18.6277,18.7076,18.068,18.098,10.4147,9570762
2010-02-05,18.0381,18.158,17.4784,18.148,10.4434,12354880
2010-02-08,18.128,18.2079,17.7982,17.8382,10.2651,6550062
2010-02-09,18.058,18.2779,17.8182,18.088,10.4089,8816913
2010-02-10,17.9981,18.098,17.6183,17.9881,10.3514,7962783
2010-02-11,17.9981,18.078,17.5984,17.9881,10.3514,12964570
2010-02-12,17.7682,17.7882,17.4984,17.6883,10.2049,11705580
2010-02-16,17.8282,18.0181,17.7582,17.9581,10.3605,9082183
2010-02-17,17.9881,18.088,17.6983,17.8082,10.274,7330318
2010-02-18,17.7682,17.8582,17.5984,17.6783,10.1991,11664440
2010-02-19,17.7383,17.9281,17.5534,17.8782,10.3144,8686259
2010-02-22,17.9781,17.9881,17.6883,17.7682,10.251,9639054
2010-02-23,17.6983,17.7682,17.2686,17.4684,10.078,10636600
2010-02-24,17.4784,17.7782,17.2786,17.5884,10.1472,8742071
2010-02-25,17.3085,17.4385,17.1087,17.4385,10.0607,9331899
2010-02-26,17.4484,17.7682,17.4085,17.5084,10.1011,7020171
2010-03-01,17.6383,17.7483,17.5884,17.6283,10.1703,5860026
