date,open,high,low,close,adjusted_close,volume
2023-09-27,77.25,83.9,77.25,80.6,80.4317,850237
2023-09-28,81.5,87.5,81.01,84.65,84.4732,926153
2023-09-29,85.94,86.99,84.5,84.56,84.3834,991246
2023-10-02,83.11,89.0,81.53,85.12,84.9422,23045070
2023-10-03,82.65,83.25,76.0115,77.05,76.8891,12671220
2023-10-04,76.67,80.62,76.35,77.8,77.6375,8358286
2023-10-05,76.3,76.99,72.65,74.45,74.2945,15351920
2023-10-06,73.04,78.47,73.04,77.98,77.8171,7781111
2023-10-09,76.75,78.0,73.734,74.61,74.4542,7000973
2023-10-10,73.96,75.51,72.5,75.0,74.8433,5385623
2023-10-11,74.44,76.56,73.61,74.47,74.3145,4602585
2023-10-12,73.75,75.3,72.75,74.23,74.075,4668757
2023-10-13,73.63,73.99,70.47,71.85,71.6999,5286581
2023-10-16,71.62,74.84,71.62,74.21,74.055,4555029
2023-10-17,73.13,75.125,73.01,74.48,74.3244,2584906
2023-10-18,73.5,73.9305,72.2709,72.45,72.2987,2959766
2023-10-19,71.82,72.74,69.95,70.29,70.1432,2867355
2023-10-20,70.4,70.78,68.9,69.93,69.7839,3151456
2023-10-23,69.3,72.47,67.65,71.9,71.7498,4089800
2023-10-24,72.29,73.71,71.79,72.01,71.8596,3432182
2023-10-25,71.3,72.335,69.78,70.79,70.6421,3298234
2023-10-26,66.33,72.23,65.51,70.0,69.8538,3537099
2023-10-27,68.64,69.44,67.75,67.99,67.848,3411996
2023-10-30,68.48,69.33,67.42,68.36,68.2172,3393797
2023-10-31,68.92,69.73,67.65,69.0,68.8559,3370678
2023-11-01,68.16,69.19,67.47,67.51,67.369,2503527
2023-11-02,68.0,70.54,66.69,70.28,70.1332,2848740
2023-11-03,70.47,71.09,69.06,70.8,70.6521,2225964
2023-11-06,70.05,70.07,68.08,68.26,68.1174,2854957
2023-11-07,67.75,70.25,67.36,70.07,69.9236,2133633
2023-11-08,69.8,70.32,69.55,69.8,69.6542,2053773
