date,open,high,low,close,adjusted_close,volume
2010-01-04,53.41,53.41,52.17,52.73,46.4438,1127989
2010-01-05,52.85,52.93,52.0,52.93,46.6199,830222
2010-01-06,52.99,54.36,52.99,53.85,47.4302,1082832
2010-01-07,54.04,54.04,52.69,53.17,46.8313,1126838
2010-01-08,53.11,53.35,52.29,52.65,46.3733,701945
2010-01-11,53.09,53.12,51.7,52.18,45.9593,973534
2010-01-12,51.71,52.4181,51.59,52.08,45.8713,894786
2010-01-13,52.17,52.81,51.61,52.79,46.4966,680072
2010-01-14,52.67,52.87,52.07,52.65,46.3733,482532
2010-01-15,52.67,52.81,51.0,51.16,45.0609,1117071
2010-01-19,51.15,51.89,50.6948,51.78,45.607,718433
2010-01-20,51.25,51.26,50.49,50.96,44.8848,724394
2010-01-21,50.96,50.96,48.41,48.44,42.6652,1477008
2010-01-22,48.02,48.71,46.96,47.06,41.4497,1644518
2010-01-25,47.62,47.7,46.25,46.77,41.1943,1594506
2010-01-26,46.5,47.53,46.08,46.94,41.344,1020433
2010-01-27,46.59,46.59,45.15,46.22,40.7099,1506015
2010-01-28,46.45,46.45,44.7,45.17,39.785,995605
2010-01-29,45.39,45.88,44.03,44.19,38.9219,1654710
2010-02-01,44.54,44.95,44.11,44.95,39.5913,858643
2010-02-02,45.27,46.04,44.9,45.84,40.3752,931146
2010-02-03,45.76,46.05,44.84,45.12,39.741,812364
2010-02-04,44.58,44.89,42.98,43.3,38.138,1976141
2010-02-05,43.29,43.81,42.59,43.66,38.455,1577268
2010-02-08,43.74,44.28,43.25,43.5,38.3141,1544459
2010-02-09,42.98,43.3,41.8,42.63,37.5478,3844884
2010-02-10,43.69,43.71,41.9,42.83,37.724,2004284
2010-02-11,42.8,43.07,42.16,43.05,37.9178,1215462
2010-02-12,42.29,42.99,41.99,42.94,37.8209,1457402
2010-02-16,43.21,44.62,43.02,44.48,39.1773,1312546
2010-02-17,44.64,45.0,43.97,44.35,39.0628,1008427
2010-02-18,44.17,44.6,43.93,44.45,39.1509,621099
2010-02-19,44.22,45.61,44.04,45.5,40.0757,1372595
2010-02-22,45.71,46.42,45.38,45.82,40.3575,1215895
2010-02-23,45.9,46.06,44.81,45.18,39.7938,1340430
2010-02-24,45.12,45.21,44.32,44.88,39.7496,697518
2010-02-25,44.36,44.59,43.72,44.55,39.4573,757354
2010-02-26,44.57,44.68,43.205,43.41,38.4476,1617555
2010-03-01,43.59,43.59,42.52,43.01,38.0933,1574226
2010-03-02,43.2,43.54,42.63,42.68,37.801,1302649
2010-03-03,42.85,44.04,42.74,43.89,38.8727,1242698
2010-03-04,43.88,44.35,43.34,43.77,38.7664,1286490
2010-03-05,44.21,45.14,44.15,45.09,39.9356,867235
2010-03-08,45.12,46.01,44.89,45.95,40.6972,984034
2010-03-09,45.81,46.12,45.19,45.69,40.467,1400188
2010-03-10,45.75,46.06,45.25,45.41,40.219,948869
2010-03-11,45.05,45.65,44.72,45.64,40.4227,685634
2010-03-12,45.93,46.0,45.07,45.26,40.0861,935139
2010-03-15,45.21,45.59,44.895,45.48,40.281,835796
2010-03-16,45.69,46.62,45.3,46.49,41.1755,2481184
2010-03-17,46.84,50.4,46.7526,49.65,43.9743,4235629
2010-03-18,49.65,49.65,47.55,48.39,42.8583,1943286
2010-03-19,48.41,48.85,47.85,48.57,43.0177,1771957
2010-03-22,48.01,50.3,47.94,49.55,43.8857,2105836
2010-03-23,49.7,50.28,49.13,50.18,44.4437,1488794
2010-03-24,49.9,50.73,49.68,49.73,44.0451,1451579
2010-03-25,50.13,50.41,48.14,48.26,42.7432,2447054
2010-03-26,48.36,48.8,47.13,47.78,42.318,1451186
2010-03-29,47.97,48.43,47.872,48.22,42.7077,819501
2010-03-30,48.3,48.58,47.28,47.68,42.2295,866071
2010-03-31,47.61,47.94,47.05,47.24,41.8398,722948
2010-04-01,47.46,49.27,47.46,49.09,43.4783,1512088
2010-04-05,49.12,49.95,48.91,49.42,43.7706,843547
2010-04-06,49.1,49.46,48.5,48.87,43.2835,1071235
2010-04-07,48.65,48.94,47.62,47.93,42.4509,1323968
2010-04-08,47.89,48.32,47.2,48.08,42.5837,941222
2010-04-09,48.11,48.85,47.76,48.42,42.8849,879009
2010-04-12,48.29,49.4,48.25,49.28,43.6466,1140155
2010-04-13,49.33,50.05,49.31,49.77,44.0806,1405575
2010-04-14,49.94,51.57,49.81,51.45,45.5685,1915171
2010-04-15,51.28,54.12,50.98,53.28,47.1893,2851515
2010-04-16,53.26,54.99,51.69,52.9,46.8528,1903456
2010-04-19,52.35,52.94,51.81,52.91,46.8616,1018586
2010-04-20,53.19,54.12,52.83,53.84,47.6853,1045764
2010-04-21,54.02,54.87,53.67,54.43,48.2079,1367869
2010-04-22,53.99,56.0,53.25,55.95,49.5541,1305766
2010-04-23,55.76,57.3,55.05,57.27,50.7232,1859282
2010-04-26,57.57,58.77,57.19,57.84,51.228,1983223
