date,open,high,low,close,adjusted_close,volume
2010-01-04,30.41,30.5,29.67,29.85,28.8472,389942
2010-01-05,29.85,30.07,29.49,30.05,29.0404,429920
2010-01-06,30.0,30.87,30.0,30.44,29.4173,848818
2010-01-07,30.36,30.68,29.8,30.39,29.369,426510
2010-01-08,30.21,30.27,29.98,30.0,28.9921,253115
2010-01-11,30.03,30.105,29.75,29.93,28.9245,676448
2010-01-12,29.99,30.38,29.84,30.16,29.1468,741988
2010-01-13,30.1,30.29,30.1,30.15,29.1371,394343
2010-01-14,30.09,30.1,29.89,29.91,28.9052,301084
2010-01-15,29.77,29.92,28.66,28.95,27.9774,765986
2010-01-19,28.84,28.84,27.81,27.95,27.011,1531617
2010-01-20,27.81,28.1,27.685,27.99,27.0497,957535
2010-01-21,27.99,28.4,27.91,28.04,27.098,681738
2010-01-22,28.2,28.37,27.93,28.01,27.069,595568
2010-01-25,27.98,28.24,27.91,27.95,27.011,256491
2010-01-26,27.83,28.75,27.83,28.35,27.3976,302504
2010-01-27,28.23,29.24,28.01,28.9,27.9291,475122
2010-01-28,28.75,29.025,28.57,28.77,27.8035,495161
2010-01-29,28.83,28.9,28.0,28.12,27.1753,389702
2010-02-01,28.21,28.46,28.2,28.41,27.4555,401270
2010-02-02,28.39,28.59,27.9,27.96,27.0207,536176
2010-02-03,27.96,28.13,27.9,27.99,27.0497,309227
2010-02-04,27.93,27.94,27.71,27.75,26.8177,617654
2010-02-05,27.75,27.82,26.65,27.7,26.7694,645422
2010-02-08,27.73,27.91,27.38,27.63,26.7018,632431
2010-02-09,27.58,28.1,27.58,27.84,26.9047,1450903
2010-02-10,27.96,28.09,27.51,27.84,26.9047,496525
2010-02-11,27.7,28.18,27.7,28.02,27.0786,346832
2010-02-12,27.71,28.39,27.53,28.31,27.3589,875569
2010-02-16,28.1,28.41,27.95,28.25,27.3009,213499
2010-02-17,28.07,28.3,27.85,27.94,27.0013,456067
2010-02-18,27.77,28.1,27.66,28.0,27.0593,613769
2010-02-19,27.83,28.23,27.83,28.01,27.069,152455
2010-02-22,28.0,28.42,27.89,28.24,27.2913,290447
2010-02-23,28.42,28.42,27.82,28.01,27.069,390398
2010-02-24,27.99,28.0,27.88,27.96,27.0207,262959
2010-02-25,27.83,28.055,27.83,27.98,27.04,328833
2010-02-26,28.08,28.3,27.96,28.3,27.3492,632740
2010-03-01,28.46,28.74,28.22,28.4,27.4459,321783
2010-03-02,28.4,28.65,27.79,28.02,27.0786,467988
2010-03-03,27.94,28.13,27.37,27.63,26.7018,663185
2010-03-04,27.57,27.94,27.05,27.24,26.3249,294676
2010-03-05,27.27,27.58,27.26,27.38,26.4601,716315
2010-03-08,27.24,29.35,27.17,29.03,28.0547,680012
2010-03-09,28.77,28.92,27.97,28.45,27.4942,706945
2010-03-10,28.35,28.7885,28.35,28.53,27.5715,412919
2010-03-11,28.59,28.6,28.0,28.19,27.2429,479068
2010-03-12,28.43,28.705,28.0,28.2,27.2526,537775
2010-03-15,28.07,28.19,27.89,28.1,27.156,463301
2010-03-16,28.06,28.15,27.98,28.05,27.1076,623726
2010-03-17,28.15,28.15,28.0,28.01,27.069,415170
