date,open,high,low,close,adjusted_close,volume
2010-01-04,33.4,33.45,33.0899,33.28,15.4222,16176648
2010-01-05,33.37,33.4,32.78,33.34,15.45,23722957
2010-01-06,32.64,32.74,31.8,31.92,15.0049,37506464
2010-01-07,32.1,32.1,31.53,31.73,14.9156,25508242
2010-01-08,31.66,31.78,31.42,31.75,14.925,20658308
2010-01-11,31.97,31.97,31.42,31.88,14.9861,21974989
2010-01-12,31.78,31.92,31.69,31.91,15.0002,14407568
2010-01-13,31.95,32.04,31.66,31.87,14.9814,17108741
2010-01-14,31.82,31.87,31.2,31.22,14.6759,23054221
2010-01-15,31.2,31.32,30.45,30.58,14.375,46642300
2010-01-19,30.74,31.32,30.65,31.23,14.6806,23935668
2010-01-20,31.23,31.34,30.6,30.71,14.4362,30237693
2010-01-21,30.79,30.97,30.26,30.63,14.3985,23572406
2010-01-22,30.57,30.93,30.3,30.3401,14.2622,24228667
2010-01-25,30.8,31.06,30.27,30.68,14.422,21103350
2010-01-26,30.4,30.5301,29.75,30.17,14.1823,37811511
2010-01-27,29.99,30.1999,29.5,29.87,14.0412,34965652
2010-01-28,29.83,30.1999,29.13,29.33,13.7874,35659870
2010-01-29,29.45,29.76,29.21,29.42,13.8297,27086894
2010-02-01,29.8199,29.85,29.35,29.61,13.9191,18225611
2010-02-02,29.56,29.88,29.48,29.73,13.9754,17606348
2010-02-03,29.74,29.8199,29.02,29.19,13.7216,35864052
2010-02-04,28.98,29.04,28.62,28.63,13.4584,28760120
2010-02-05,28.63,28.76,28.31,28.74,13.5101,25070131
2010-02-08,28.79,28.82,28.37,28.37,13.3361,17707533
2010-02-09,28.7,29.08,28.69,28.75,13.5148,25553557
2010-02-10,28.79,29.02,28.55,28.87,13.5712,16152658
2010-02-11,28.86,29.2,28.68,29.04,13.6511,15994750
2010-02-12,28.9201,29.02,28.71,28.93,13.5994,15161602
2010-02-16,29.21,29.24,29.04,29.18,13.7169,12456485
2010-02-17,29.26,29.4,29.03,29.14,13.6981,14310116
2010-02-18,29.14,29.26,28.94,29.15,13.7028,11936700
2010-02-19,29.02,29.28,28.91,29.02,13.6417,19705104
2010-02-22,29.06,29.13,28.9,29.0,13.6323,14640538
2010-02-23,28.9201,28.95,28.7,28.74,13.5101,15712094
2010-02-24,28.77,29.0,28.71,28.96,13.6135,13273532
2010-02-25,28.77,28.97,28.6,28.88,13.5759,16887606
2010-02-26,28.93,29.01,28.76,28.93,13.5994,13582737
2010-03-01,28.97,29.1099,28.85,28.99,13.6276,17269741
2010-03-02,29.05,29.28,28.9,29.26,13.7545,18502083
2010-03-03,29.32,29.34,29.03,29.13,13.6934,14241984
2010-03-04,29.22,29.42,29.1,29.27,13.7592,13974255
2010-03-05,29.29,29.35,29.1099,29.23,13.7404,19983282
2010-03-08,29.2999,29.72,29.2,29.6301,13.9285,17094454
2010-03-09,29.61,30.04,29.57,29.91,14.0601,21646272
2010-03-10,29.99,30.04,29.62,29.75,13.9849,19359540
2010-03-11,29.74,29.85,29.6,29.84,14.0272,11714926
2010-03-12,29.93,29.93,29.6301,29.73,13.9754,12047268
2010-03-15,29.7,29.86,29.6,29.86,14.0366,13430587
2010-03-16,29.95,30.0,29.77,29.93,14.0695,13724758
2010-03-17,29.95,30.25,29.95,30.15,14.1729,26049671
2010-03-18,30.17,30.38,30.15,30.3,14.2434,11864730
2010-03-19,30.41,30.54,30.25,30.41,14.2951,21208267
2010-03-22,30.28,30.7201,30.28,30.65,14.4079,13596172
2010-03-23,30.7,30.98,30.6,30.98,14.5631,15380178
2010-03-24,30.9,30.95,30.4,30.46,14.3186,16000934
2010-03-25,30.67,30.68,30.27,30.31,14.2481,14419510
2010-03-26,30.36,30.45,30.17,30.37,14.2763,12930102
2010-03-29,30.58,30.6,30.36,30.45,14.3139,14965844
2010-03-30,31.11,31.5,31.02,31.23,14.6806,47206333
2010-03-31,31.21,31.23,30.89,31.02,14.5819,22853877
2010-04-01,31.25,31.44,31.13,31.28,14.7041,18351745
2010-04-05,31.71,31.71,31.29,31.46,14.7887,18849245
