date,open,high,low,close,adjusted_close,volume
2010-01-04,41.35,41.94,41.23,41.72,19.6088,510536
2010-01-05,41.54,41.86,41.36,41.73,19.6135,587442
2010-01-06,41.7,42.54,41.55,41.99,19.7357,1176292
2010-01-07,42.01,42.24,41.58,42.03,19.7545,821844
2010-01-08,41.92,42.95,41.92,42.71,20.0741,374344
2010-01-11,43.02,43.32,42.08,42.3,19.8814,766804
2010-01-12,42.07,42.33,41.67,41.95,19.7169,365518
2010-01-13,42.14,42.35,41.53,42.32,19.8908,627594
2010-01-14,42.04,42.46,41.58,41.67,19.5853,691856
2010-01-15,41.71,41.76,40.41,40.74,19.1482,605990
2010-01-19,40.71,40.82,40.04,40.73,19.1435,791498
2010-01-20,40.41,40.585,39.68,40.29,18.9367,791104
2010-01-21,40.29,40.77,39.6,39.84,18.7252,1102218
2010-01-22,39.89,40.08,39.35,39.5,18.5654,1172120
2010-01-25,40.0,40.0,39.14,39.24,18.4432,563238
2010-01-26,39.0,39.37,38.68,38.77,18.2223,857560
2010-01-27,38.73,38.92,38.09,38.77,18.2223,695310
2010-01-28,38.8,38.93,37.75,37.8,17.7663,569136
2010-01-29,37.62,39.08,37.62,38.33,18.0154,1856564
2010-02-01,38.5,39.02,38.3,38.46,18.0766,744370
2010-02-02,38.35,39.08,38.27,38.63,18.1565,529516
2010-02-03,38.32,38.53,37.76,38.03,17.8744,713588
2010-02-04,37.7,37.76,36.721,36.89,17.3386,642190
2010-02-05,36.86,37.09,36.16,37.0,17.3903,1089318
2010-02-08,37.08,37.26,36.55,37.02,17.3997,650690
2010-02-09,37.64,37.87,37.15,37.3,17.5313,510870
2010-02-10,37.12,37.41,36.7025,37.02,17.4044,810284
2010-02-11,37.01,37.95,36.84,37.71,17.7288,1163818
2010-02-12,37.34,37.76,36.81,37.65,17.7006,755856
2010-02-16,38.11,38.34,37.71,38.07,17.898,573190
2010-02-17,38.06,38.42,37.99,38.41,18.0579,721512
2010-02-18,38.51,39.29,38.22,39.1,18.3823,516312
2010-02-19,39.04,39.54,39.0,39.23,18.4434,347368
2010-02-22,39.29,39.51,39.08,39.36,18.5045,422366
2010-02-23,38.04,39.25,37.69,38.67,18.1801,822046
2010-02-24,38.64,38.89,37.32,37.74,17.7429,1203826
2010-02-25,37.41,38.23,36.97,38.17,17.9451,693370
2010-02-26,38.15,38.35,37.82,38.14,17.931,532922
2010-03-01,38.25,39.26,38.2,38.9,18.2883,726826
2010-03-02,39.0,39.26,38.8,39.14,18.4011,493610
2010-03-03,39.16,39.46,38.83,39.34,18.4951,767834
2010-03-04,39.5,39.88,39.18,39.49,18.5656,393590
2010-03-05,39.7,40.2275,39.58,40.13,18.8665,702248
2010-03-08,40.02,40.39,39.97,40.29,18.9417,448584
2010-03-09,40.19,41.13,40.14,41.06,19.3037,1327374
2010-03-10,40.93,41.71,40.83,41.61,19.5623,811340
2010-03-11,41.48,41.96,41.22,41.96,19.7269,710194
2010-03-12,42.06,42.62,41.91,42.6,20.0278,656956
2010-03-15,42.41,42.85,42.28,42.77,20.1077,509678
2010-03-16,42.96,43.435,42.8,43.33,20.371,549326
2010-03-17,43.53,43.9,43.34,43.68,20.5355,341278
2010-03-18,42.63,43.69,42.63,43.28,20.3474,1315952
2010-03-19,43.35,43.44,42.43,42.63,20.0419,701286
2010-03-22,42.4,43.37,42.27,43.14,20.2816,560698
2010-03-23,43.29,44.19,43.085,44.13,20.7471,549974
2010-03-24,43.96,44.135,43.75,43.87,20.6248,742886
2010-03-25,44.15,44.54,43.48,43.52,20.4603,746492
2010-03-26,43.6,43.87,43.19,43.4,20.4039,875128
2010-03-29,43.62,43.75,43.28,43.42,20.4133,581078
2010-03-30,43.53,43.53,42.69,42.76,20.103,1101206
2010-03-31,42.55,42.73,42.06,42.12,19.8021,957458
2010-04-01,42.4,42.75,42.28,42.65,20.0513,318520
2010-04-05,42.95,43.72,42.74,43.71,20.5496,308610
2010-04-06,43.6,43.7,43.14,43.35,20.3804,945798
2010-04-07,42.14,42.14,41.11,41.48,19.5012,1904178
2010-04-08,41.38,42.29,41.23,42.2,19.8397,952188
2010-04-09,42.34,42.69,41.92,42.6,20.0278,920902
2010-04-12,42.6,43.06,42.55,42.95,20.1923,504956
2010-04-13,42.85,43.43,42.74,43.41,20.4086,435238
2010-04-14,43.57,46.35,43.57,46.23,21.7343,1579918
2010-04-15,45.98,47.25,45.8,47.14,22.1622,1042458
2010-04-16,46.83,47.71,46.82,47.43,22.2985,1647308
2010-04-19,47.31,47.62,46.98,47.57,22.3643,1016120
2010-04-20,47.65,48.22,47.18,47.52,22.3408,665242
2010-04-21,47.75,48.7,47.66,48.39,22.7498,560750
2010-04-22,47.73,49.04,47.69,48.93,23.0037,516466
2010-04-23,48.9,50.14,48.9,50.14,23.5726,753122
2010-04-26,49.94,50.88,49.94,50.42,23.7042,707386
2010-04-27,50.28,50.48,48.45,48.52,22.811,803636
2010-04-28,47.8,48.5,47.4,47.67,22.4113,1242922
2010-04-29,47.9,48.51,47.71,48.46,22.7827,1196808
2010-04-30,48.63,49.55,47.49,47.58,22.369,812980
2010-05-03,47.94,49.05,47.87,48.78,22.9332,460068
2010-05-04,48.13,48.17,46.89,47.25,22.2139,581392
2010-05-05,46.81,47.33,46.15,46.4,21.8143,654040
2010-05-06,46.04,46.84,42.73,45.2,21.2501,933126
2010-05-07,44.77,45.28,43.52,44.1,20.733,813780
2010-05-10,45.91,46.93,45.64,46.91,22.054,950958
2010-05-11,46.45,47.5,46.11,47.14,22.1622,906768
2010-05-12,47.25,49.62,47.16,49.48,23.2623,1240574
2010-05-13,49.2,49.7,48.65,48.84,22.966,1097012
2010-05-14,48.61,48.61,46.4695,46.91,22.0585,702570
2010-05-17,47.0,47.625,45.45,46.45,21.8422,590820
2010-05-18,47.11,47.25,45.67,45.7,21.4895,426298
