date,open,high,low,close,adjusted_close,volume
2010-01-04,37.01,37.3,36.64,37.3,24.2568,8170924
2010-01-05,37.1,37.16,36.62,37.0,24.0617,10844190
2010-01-06,36.16,37.29,35.92,36.72,23.8796,8945309
2010-01-07,36.69,37.0,36.47,36.94,24.0227,5040666
2010-01-08,36.92,37.07,36.65,36.99,24.0552,6140011
2010-01-11,37.0,37.14,36.9,37.05,24.0942,4947446
2010-01-12,36.84,36.97,36.6,36.74,23.8926,4646279
2010-01-13,36.65,37.16,36.6,37.08,24.1137,4526541
2010-01-14,37.16,37.25,36.88,37.11,24.1332,5686995
2010-01-15,36.93,37.05,36.46,36.6,23.8015,8691801
2010-01-19,36.62,36.87,36.36,36.74,23.8926,5621610
2010-01-20,36.6,37.05,36.51,36.95,24.0292,5938975
2010-01-21,37.15,37.27,36.22,36.45,23.704,7951637
2010-01-22,36.31,36.8,35.97,35.99,23.4049,6976385
2010-01-25,36.22,36.865,35.98,36.67,23.8471,6137989
2010-01-26,36.55,36.7,36.11,36.17,23.5219,6565410
2010-01-27,36.15,36.83,36.1,36.7,23.8666,6706449
2010-01-28,36.75,37.0,36.37,36.4,23.6715,5613771
2010-01-29,36.52,37.0625,36.0,36.05,23.4439,8441864
2010-02-01,36.29,36.41,36.01,36.38,23.6585,6073147
2010-02-02,36.35,36.84,36.22,36.78,23.9186,7675534
2010-02-03,36.0,36.19,34.23,34.62,22.5139,23411699
2010-02-04,34.72,35.1,33.44,33.45,21.7531,17081150
2010-02-05,33.45,33.68,33.0,33.31,21.662,12635420
2010-02-08,33.9,33.9,33.27,33.29,21.649,11686160
2010-02-09,33.55,33.84,33.41,33.61,21.8571,7249164
2010-02-10,33.55,33.61,33.025,33.3,21.6555,6630089
2010-02-11,33.25,33.6,33.04,33.6,21.8506,5881770
2010-02-12,33.38,33.63,33.23,33.49,21.7791,5646179
2010-02-16,33.55,34.08,33.35,34.08,22.2541,5406464
2010-02-17,33.69,34.57,33.65,34.19,22.326,7799556
2010-02-18,34.33,34.75,34.23,34.69,22.6525,5142040
2010-02-19,34.65,34.95,34.52,34.86,22.7635,4706568
2010-02-22,35.3,35.31,34.71,34.75,22.6916,5984292
2010-02-23,34.62,34.81,34.04,34.76,22.6982,7834873
2010-02-24,34.96,35.58,34.6,35.5,23.1814,7894489
2010-02-25,35.24,36.13,34.96,36.02,23.5209,11441360
2010-02-26,35.95,36.07,35.18,35.24,23.0116,7104015
2010-03-01,35.23,35.45,34.87,35.42,23.1291,6867987
2010-03-02,35.5,35.77,35.2,35.24,23.0116,8809021
2010-03-03,35.15,35.97,35.02,35.36,23.09,10597210
2010-03-04,35.41,35.58,34.93,35.0,22.8549,8401494
