date,open,high,low,close,adjusted_close,volume
2010-01-04,30.7053,31.2337,30.6858,30.9989,15.84,1450000
2010-01-05,31.0967,32.3492,30.9989,32.2122,16.46,1630000
2010-01-06,32.4862,32.7993,32.0948,32.6819,16.7,1980000
2010-01-07,32.6232,32.9755,32.5253,32.6623,16.69,1280000
2010-01-08,32.5841,32.9559,32.4471,32.7798,16.75,1250000
2010-01-11,32.8385,32.9559,32.5058,32.6623,16.69,1210000
2010-01-12,32.5841,32.6428,31.7621,31.7817,16.24,1430000
2010-01-13,31.7425,32.0948,31.2729,31.9774,16.34,1210000
2010-01-14,31.7425,32.2514,31.6447,31.723,16.21,835030
2010-01-15,32.5645,33.0146,32.2318,32.4275,16.57,2100000
2010-01-19,32.2514,32.4666,32.1144,32.3884,16.55,1020000
2010-01-20,32.1535,32.3296,31.9187,32.1339,16.42,964600
2010-01-21,32.3101,32.5058,31.312,31.8013,16.25,1200000
2010-01-22,31.723,31.9578,30.8619,30.8815,15.78,1030000
2010-01-25,31.038,31.2729,30.6075,30.8228,15.75,911660
2010-01-26,30.8619,30.9206,30.4901,30.8032,15.74,844230
2010-01-27,30.5879,30.8032,29.6094,30.1965,15.43,1270000
2010-01-28,30.1378,30.4705,29.7268,30.2552,15.46,1030000
2010-01-29,30.4314,30.4509,29.6094,29.6486,15.15,1400000
2010-02-01,29.9421,30.1182,29.5898,29.7855,15.22,1300000
2010-02-02,29.7268,29.903,29.3159,29.492,15.07,2000000
2010-02-03,29.492,29.5507,29.2963,29.3354,14.99,2470000
2010-02-04,29.1202,29.1984,28.5331,28.6113,14.62,2000000
2010-02-05,28.5135,28.5135,27.6916,28.4548,14.54,2450000
2010-02-08,28.5722,28.807,28.4156,28.4939,14.56,2020000
2010-02-09,28.6505,29.355,28.6505,29.2572,14.95,2750000
2010-02-10,28.2199,28.6309,27.8481,27.8677,14.24,4120000
2010-02-11,27.809,28.1612,27.6916,28.0047,14.31,3390000
2010-02-12,27.9655,28.7288,27.6916,28.6896,14.66,2710000
2010-02-16,28.4939,29.0615,28.3961,28.9245,14.78,1360000
2010-02-17,30.8032,31.7817,30.6858,31.3707,16.03,10070000
2010-02-18,31.2142,31.8795,31.1554,31.586,16.14,2200000
2010-02-19,31.5273,32.3884,31.4099,31.997,16.35,2870000
2010-02-22,32.2318,32.6428,32.0361,32.0752,16.39,3110000
2010-02-23,31.4099,32.3884,31.2729,32.0557,16.38,5710000
2010-02-24,32.2318,32.2318,31.586,31.997,16.35,4670000
2010-02-25,31.8013,31.8208,31.1359,31.3903,16.04,7430000
2010-02-26,31.5664,31.5664,30.9206,31.1359,15.91,60900000
2010-03-01,31.0772,31.1946,30.8032,30.8815,15.78,7770000
2010-03-02,31.038,31.0967,30.6858,30.7445,15.71,5910000
2010-03-03,30.9989,30.9989,30.6075,30.6075,15.64,3150000
2010-03-04,30.5683,31.3903,30.5096,31.0772,15.88,3140000
2010-03-05,31.3511,31.586,31.1359,31.5468,16.12,2580000
2010-03-08,31.5468,31.8404,31.3511,31.6643,16.18,2440000
