date,open,high,low,close,adjusted_close,volume
2012-10-12,48.05,51.37,45.05,48.69,48.69,18137051
2012-10-15,48.74,53.0,48.6,51.94,51.94,3090000
2012-10-16,53.49,53.5,51.91,52.16,52.16,805380
2012-10-17,52.02,57.21,52.0,55.41,55.41,1390000
2012-10-18,55.08,55.1,50.87,53.42,53.42,1520000
2012-10-19,52.33,55.58,51.53,55.25,55.25,1440000
2012-10-22,55.58,56.22,54.11,55.4,55.4,478180
2012-10-23,55.37,55.51,54.14,54.38,54.38,386240
2012-10-24,54.01,54.25,51.86,52.12,52.12,469570
2012-10-25,53.33,53.33,48.6,49.24,49.24,800580
2012-10-26,49.65,50.5,48.2,50.0,50.0,484590
2012-10-31,51.0,51.03,48.09,48.5,48.5,400840
2012-11-01,49.1,49.66,48.18,48.92,48.92,305880
2012-11-02,50.74,50.74,48.3,48.52,48.52,178860
2012-11-05,49.98,50.0,48.74,49.88,49.88,310180
2012-11-06,48.53,50.33,48.25,48.54,48.54,509830
2012-11-07,48.43,48.71,46.82,48.07,48.07,284010
2012-11-08,49.25,49.68,47.69,49.05,49.05,278590
2012-11-09,49.6,49.6,47.6,48.0,48.0,120360
2012-11-12,47.47,47.68,46.38,46.99,46.99,274710
2012-11-13,46.21,47.27,46.0,46.99,46.99,279140
2012-11-14,46.77,48.5,46.75,47.38,47.38,267140
2012-11-15,48.11,48.62,47.07,47.94,47.94,371790
2012-11-16,47.5,48.95,47.4,48.85,48.85,194170
2012-11-19,49.95,49.95,48.92,49.61,49.61,216130
2012-11-20,49.86,51.0,49.62,50.71,50.71,314840
2012-11-21,51.05,52.1,51.05,51.95,51.95,441270
2012-11-23,52.46,52.46,50.43,50.79,50.79,148720
2012-11-26,50.8,51.75,50.0,50.82,50.82,341620
2012-11-27,51.0,53.19,50.73,51.85,51.85,852420
2012-11-28,51.05,53.22,49.02,53.19,53.19,1230000
2012-11-29,53.14,53.68,49.62,51.7,51.7,1470000
2012-11-30,51.97,51.99,49.59,50.1,50.1,584160
2012-12-03,50.1,51.33,49.26,50.1,50.1,621800
2012-12-04,49.59,49.89,48.7,49.7,49.7,346020
2012-12-05,49.75,49.9,48.24,48.3,48.3,370370
2012-12-06,48.99,48.99,47.74,48.4,48.4,163470
2012-12-07,48.85,51.33,48.5,51.2,51.2,681250
2012-12-10,51.88,52.5,49.78,51.5,51.5,612320
2012-12-11,51.78,52.84,50.4,51.69,51.69,445470
2012-12-12,52.0,53.02,51.34,51.4,51.4,326530
2012-12-13,51.6,51.6,50.2,50.27,50.27,156170
2012-12-14,50.0,50.97,49.94,50.48,50.48,158470
2012-12-17,50.39,51.05,50.1,50.94,50.94,148650
2012-12-18,51.12,53.41,50.02,53.39,53.39,517110
2012-12-19,53.5,57.1,52.65,55.13,55.13,1440000
2012-12-20,55.0,56.9,52.74,56.16,56.16,799800
2012-12-21,54.94,56.26,54.0,55.95,55.95,1960000
2012-12-24,55.69,56.25,54.13,56.17,56.17,109230
2012-12-26,55.96,56.5,54.17,54.53,54.53,307650
2012-12-27,54.8,55.1,53.05,54.0,54.0,356450
2012-12-28,53.9,54.1,53.08,53.54,53.54,161270
2012-12-31,53.23,54.98,52.99,54.5,54.5,446480
2013-01-02,54.98,56.47,52.51,52.91,52.91,1100000
2013-01-03,52.74,53.61,52.02,52.3,52.3,433760
2013-01-04,52.25,53.11,51.8,52.19,52.19,547770
2013-01-07,51.95,52.35,51.61,52.17,52.17,348690
2013-01-08,52.09,52.19,51.23,51.87,51.87,400030
2013-01-09,52.06,53.44,51.5,52.75,52.75,318940
2013-01-10,53.29,53.4,51.79,53.2,53.2,404750
2013-01-11,53.17,53.31,52.07,52.79,52.79,404910
2013-01-14,52.57,52.86,50.79,51.26,51.26,521870
2013-01-15,51.2,51.48,50.53,51.04,51.04,283750
2013-01-16,50.98,51.94,50.78,51.55,51.55,197160
2013-01-17,51.91,52.12,50.94,50.95,50.95,421150
2013-01-18,50.74,51.34,50.33,50.39,50.39,163330
2013-01-22,50.38,51.49,50.04,50.63,50.63,312380
2013-01-23,50.19,52.14,50.19,51.93,51.93,744130
2013-01-24,52.0,54.13,51.69,53.16,53.16,462480
2013-01-25,53.03,54.44,52.39,54.39,54.39,315430
2013-01-28,54.39,56.9,53.73,56.5,56.5,386060
2013-01-29,54.6,56.45,54.01,55.93,55.93,389770
2013-01-30,55.03,55.88,53.16,53.24,53.24,384200
2013-01-31,53.84,54.22,52.32,53.42,53.42,347880
2013-02-01,53.99,54.88,53.04,53.52,53.52,308000
2013-02-04,52.72,53.3,52.14,52.61,52.61,277590
2013-02-05,52.24,52.93,51.87,52.01,52.01,269960
2013-02-06,52.01,52.19,51.71,51.99,51.99,324280
2013-02-07,51.87,51.99,51.08,51.08,51.08,189210
2013-02-08,51.25,51.66,50.84,50.87,50.87,254010
2013-02-11,51.0,51.34,50.84,50.88,50.88,310310
2013-02-12,50.86,52.45,50.56,51.55,51.55,434850
2013-02-13,51.71,52.2,51.53,51.54,51.54,241680
2013-02-14,51.86,51.87,50.69,51.0,51.0,411260
2013-02-15,51.22,51.41,50.26,50.44,50.44,436470
2013-02-19,50.67,51.54,50.41,51.37,51.37,307390
2013-02-20,51.45,55.68,51.45,54.31,54.31,1430000
2013-02-21,54.59,55.47,54.06,55.14,55.14,649750
2013-02-22,55.14,55.93,54.55,55.25,55.25,294720
2013-02-25,55.27,56.35,55.07,55.99,55.99,352080
2013-02-26,55.73,56.18,55.4,55.66,55.66,433050
2013-02-27,55.54,56.9,55.54,55.9,55.9,220910
2013-02-28,55.67,56.08,54.19,55.29,55.29,320120
2013-03-01,55.3,57.94,54.76,57.62,57.62,453230
2013-03-04,57.7,62.14,57.5,61.72,61.72,1770000
2013-03-05,62.29,64.08,62.05,63.93,63.93,985750
2013-03-06,63.95,64.9,63.01,64.54,64.54,820740
2013-03-07,64.53,65.0,60.65,61.63,61.63,1530000
2013-03-08,60.25,64.73,59.62,62.5,62.5,1790000
2013-03-11,62.88,62.89,61.83,61.93,61.93,508130
2013-03-12,62.29,62.64,61.59,62.3,62.3,531980
2013-03-13,62.58,63.12,62.2,62.78,62.78,381770
2013-03-14,63.07,63.52,62.82,63.26,63.26,282690
2013-03-15,63.26,63.4,62.89,63.16,63.16,824650
2013-03-18,62.84,62.84,62.04,62.49,62.49,366230
2013-03-19,62.36,62.68,59.71,60.37,60.37,654430
2013-03-20,60.24,61.03,60.0,60.32,60.32,386910
2013-03-21,59.9,61.81,59.81,61.11,61.11,492610
2013-03-22,61.5,63.3,61.06,62.49,62.49,434870
2013-03-25,62.69,63.0,61.65,62.43,62.43,413400
2013-03-26,62.27,62.28,60.82,61.25,61.25,494570
2013-03-27,61.3,62.11,60.91,61.61,61.61,204940
2013-03-28,62.08,62.37,60.87,61.63,61.63,350430
2013-04-01,61.56,61.6,60.81,61.27,61.27,929780
2013-04-02,60.93,62.48,60.93,61.59,61.59,259290
2013-04-03,61.46,61.46,58.77,59.06,59.06,748870
2013-04-04,58.93,58.93,57.31,58.59,58.59,803480
2013-04-05,58.0,59.98,57.01,58.05,58.05,755720
2013-04-08,57.76,60.06,57.76,59.68,59.68,1030000
