date,open,high,low,close,adjusted_close,volume
2010-01-04,44.51,44.96,43.93,44.04,22.7861,1426504
2010-01-05,44.28,44.74,43.87,44.66,23.1069,1173208
2010-01-06,44.75,44.95,44.31,44.44,22.9931,1061653
2010-01-07,44.5,44.86,43.98,44.53,23.0397,1528789
2010-01-08,44.28,44.55,43.85,44.07,22.8017,1089636
2010-01-11,43.68,44.24,43.62,44.17,22.8534,1249540
2010-01-12,43.88,44.38,43.5,43.77,22.6464,1260958
2010-01-13,43.99,44.81,43.92,44.71,23.1328,1368829
2010-01-14,44.69,44.69,44.15,44.38,22.962,938330
2010-01-15,44.25,44.55,44.17,44.3,22.9207,1531764
2010-01-19,44.31,45.6,44.31,45.43,23.5053,1350452
2010-01-20,45.22,45.37,44.68,45.25,23.4122,1324328
2010-01-21,45.29,45.61,44.08,44.18,22.8586,1607569
2010-01-22,44.17,44.55,43.1,43.21,22.3567,1934674
2010-01-25,43.65,43.65,42.62,43.32,22.4136,1679258
2010-01-26,43.02,43.5,42.92,43.09,22.2946,1181724
2010-01-27,43.1,43.46,42.46,43.42,22.4653,1442500
2010-01-28,43.61,43.68,42.89,43.29,22.3981,1826769
2010-01-29,43.35,43.98,42.81,43.0,22.248,1955310
2010-02-01,43.27,43.48,42.8,43.06,22.2791,1598721
2010-02-02,43.12,43.5492,42.59,43.36,22.4343,2214362
2010-02-03,43.29,43.3,42.24,42.74,22.1135,1622383
2010-02-04,41.88,42.08,40.42,40.42,21.2513,3131631
2010-02-05,40.36,41.05,39.82,41.02,21.5667,2704148
2010-02-08,41.0,41.1197,40.19,40.26,21.1671,1660356
2010-02-09,40.63,40.78,39.99,40.32,21.1987,1804177
2010-02-10,40.41,41.08,39.94,40.48,21.2828,1158729
2010-02-11,40.47,41.08,40.19,40.99,21.551,1119112
2010-02-12,40.65,40.81,40.08,40.76,21.43,1491084
2010-02-16,41.01,41.75,40.8603,41.71,21.9295,1526986
2010-02-17,41.79,42.1799,41.66,42.02,22.0925,1039298
2010-02-18,41.94,42.54,41.54,42.35,22.266,1493711
2010-02-19,42.23,42.32,41.72,41.86,22.0084,2147939
2010-02-22,42.1,42.19,41.68,42.0,22.082,1319553
2010-02-23,41.94,42.05,41.47,41.54,21.8401,1622754
2010-02-24,41.69,42.26,41.45,42.26,22.2187,1604957
2010-02-25,41.76,42.67,41.55,42.63,22.4132,2602509
2010-02-26,42.7,42.75,42.36,42.36,22.2712,1855045
2010-03-01,42.53,42.75,42.31,42.7,22.45,1369119
2010-03-02,42.79,42.9,42.33,42.53,22.3606,1118810
2010-03-03,42.47,42.54,42.18,42.34,22.2607,913301
2010-03-04,42.5,42.715,42.24,42.63,22.4132,916881
2010-03-05,42.89,43.26,42.59,43.16,22.6919,1668211
2010-03-08,43.16,43.47,43.02,43.4,22.818,1000798
2010-03-09,43.23,43.85,43.12,43.63,22.939,1294431
2010-03-10,43.52,44.07,43.31,44.04,23.1545,1984497
2010-03-11,43.89,44.48,43.75,44.48,23.3859,1147286
2010-03-12,44.59,44.98,44.43,44.78,23.5436,1220223
2010-03-15,44.79,45.05,44.52,44.96,23.6382,1023450
2010-03-16,45.06,46.06,44.8501,45.98,24.1745,2871200
2010-03-17,45.99,46.3626,45.84,46.21,24.2954,1647061
2010-03-18,45.74,46.05,45.5,45.91,24.1377,1328697
2010-03-19,45.96,46.22,45.3,45.75,24.0536,1627765
2010-03-22,45.57,46.36,45.41,46.26,24.3217,1062221
