date,open,high,low,close,adjusted_close,volume
2010-01-04,81.38,82.23,80.5,81.95,53.8416,1010100
2010-01-05,81.92,81.95,80.56,81.78,53.7299,1209300
2010-01-06,81.73,82.44,80.87,81.06,53.2569,1335100
2010-01-07,81.73,83.49,81.06,82.8,54.4001,1567300
2010-01-08,82.43,84.73,82.43,84.56,55.5564,1357200
2010-01-11,84.82,85.17,83.88,84.02,55.2016,848100
2010-01-12,83.24,83.24,81.55,82.35,54.1044,852600
2010-01-13,83.07,83.36,82.03,83.07,54.5775,721300
2010-01-14,82.81,84.0,82.75,83.17,54.6432,592500
2010-01-15,83.14,83.85,81.95,82.3,54.0716,728600
2010-01-19,82.0,82.69,81.34,82.64,54.295,703800
2010-01-20,82.25,82.25,80.02,81.36,53.454,981200
2010-01-21,81.25,81.59,78.1,78.83,51.7918,1368200
2010-01-22,78.17,78.96,75.94,77.57,50.9639,2366900
2010-01-25,79.34,79.39,76.03,76.72,50.4055,1076100
2010-01-26,76.35,77.45,75.35,76.1,49.9981,996300
2010-01-27,75.79,76.37,74.54,75.88,49.8536,848700
2010-01-28,76.05,76.88,74.75,75.68,49.7222,1024900
2010-01-29,76.12,76.98,74.87,75.18,49.3937,1282300
2010-02-01,75.63,76.32,75.33,76.06,49.9719,1160200
2010-02-02,78.86,83.27,78.85,82.23,54.0256,5826000
2010-02-03,81.26,82.57,80.58,82.08,53.927,2072800
2010-02-04,80.93,81.06,78.38,78.63,51.6604,2354100
2010-02-05,78.45,79.1,73.3,76.12,50.0113,2661100
2010-02-08,76.19,77.38,74.25,75.61,49.6762,1987600
2010-02-09,76.8,78.23,75.18,77.88,51.1676,1725000
2010-02-10,77.95,78.71,76.38,77.64,51.0099,1134600
2010-02-11,77.93,80.48,77.39,80.34,52.7838,1273100
2010-02-12,79.03,81.25,79.03,81.17,53.3292,1163000
2010-02-16,80.37,82.39,79.69,82.31,54.0781,1473700
2010-02-17,82.2,83.21,82.03,83.06,54.5709,975500
2010-02-18,82.89,84.85,82.03,84.56,55.5564,1501500
2010-02-19,83.93,85.14,83.93,84.67,55.6287,1175900
2010-02-22,84.9,85.12,84.13,84.52,55.5301,1336600
2010-02-23,84.01,84.53,82.41,82.92,54.4789,1211700
2010-02-24,83.02,83.65,81.85,83.55,55.179,1121100
2010-02-25,82.09,83.79,82.06,83.61,55.2186,1205500
2010-02-26,83.54,84.44,82.99,84.16,55.5818,1013700
2010-03-01,84.5,85.92,83.67,85.89,56.7244,884200
2010-03-02,86.35,86.94,85.91,86.38,57.048,961600
2010-03-03,86.49,87.52,86.09,86.69,57.2527,884900
2010-03-04,86.81,86.96,85.31,85.5,56.4668,1046200
2010-03-05,86.19,86.99,85.8,86.67,57.2395,796600
2010-03-08,86.84,87.22,86.26,86.87,57.3716,838400
2010-03-09,86.77,88.08,86.54,87.25,57.6226,998900
2010-03-10,87.07,87.76,86.49,86.94,57.4178,829300
2010-03-11,86.87,86.87,85.76,86.53,57.1471,939700
2010-03-12,86.73,86.89,85.58,86.0,56.797,891400
2010-03-15,85.69,87.76,84.96,86.29,56.9886,1434000
2010-03-16,86.36,88.23,85.94,88.07,58.1641,998500
2010-03-17,88.37,89.16,88.05,88.61,58.5208,1045600
2010-03-18,88.62,89.4,88.62,88.9,58.7123,807100
2010-03-19,86.28,88.9,85.98,86.28,56.9819,1575800
2010-03-22,85.93,88.77,85.5,88.45,58.4151,1049700
2010-03-23,88.83,89.95,88.34,89.83,59.3265,960200
2010-03-24,89.58,89.88,88.72,89.14,58.8708,704000
2010-03-25,90.05,91.11,89.06,89.13,58.8642,723800
2010-03-26,89.61,90.84,89.0,90.01,59.4454,728400
2010-03-29,90.24,90.64,89.51,90.08,59.4916,339400
2010-03-30,90.03,90.3,88.57,89.0,58.7783,714600
2010-03-31,88.45,88.86,86.92,87.25,57.6226,848400
2010-04-01,88.08,88.99,86.86,87.77,57.966,849800
2010-04-05,88.14,90.99,88.14,90.74,59.9275,1077200
2010-04-06,90.57,91.62,89.74,91.48,60.4162,909300
2010-04-07,91.2,91.6,88.8,89.11,58.851,1115200
2010-04-08,88.68,92.31,88.66,92.06,60.7992,1461400
2010-04-09,92.13,93.54,91.12,93.31,61.6248,1588800
2010-04-12,93.47,94.91,93.04,94.44,62.3711,1316100
2010-04-13,93.98,94.25,91.68,92.13,60.8455,1768000
2010-04-14,92.65,93.02,91.58,92.86,61.3276,1151200
2010-04-15,92.23,94.71,92.08,93.22,61.5653,1420400
2010-04-16,94.61,94.74,91.6,93.41,61.6908,1424500
2010-04-19,92.81,94.31,91.69,93.6,61.8163,1129700
2010-04-20,94.34,96.91,94.34,96.09,63.4608,1679900
2010-04-21,96.05,98.95,95.88,98.77,65.2307,1463700
2010-04-22,97.91,101.53,97.77,101.12,66.7827,2174100
2010-04-23,100.09,102.42,99.2,102.22,67.5092,1573600
2010-04-26,114.57,118.44,112.28,112.42,74.2456,8098200
2010-04-27,111.75,113.33,107.51,107.73,71.1482,4105000
