date,open,high,low,close,adjusted_close,volume
2010-01-04,34.01,34.26,33.87,34.16,23.3826,2058727
2010-01-05,34.22,34.22,33.78,34.01,23.2799,2961628
2010-01-06,33.87,34.15,33.78,34.0,23.2731,1636639
2010-01-07,33.94,34.12,33.82,34.08,23.3278,1406678
2010-01-08,33.92,34.33,33.665,34.24,23.4373,1451837
2010-01-11,34.36,34.72,34.28,34.67,23.7317,1731749
2010-01-12,34.59,34.9,34.3,34.88,23.8754,2191874
2010-01-13,34.87,35.0,34.66,34.8,23.8207,1958147
2010-01-14,34.71,34.75,34.32,34.44,23.5742,2481604
2010-01-15,34.36,34.39,33.15,33.25,22.7597,4103623
2010-01-19,33.26,33.93,33.18,33.92,23.2183,3002191
2010-01-20,33.65,33.75,33.02,33.72,23.0814,3236443
2010-01-21,33.7,33.99,33.03,33.1,22.657,3303894
2010-01-22,33.13,33.58,32.83,32.86,22.4927,2825666
2010-01-25,33.11,33.11,32.6,32.64,22.3421,1669683
2010-01-26,32.53,32.91,32.26,32.56,22.2874,1752672
2010-01-27,32.51,32.74,32.14,32.58,22.3011,1873647
2010-01-28,32.73,32.73,31.83,32.11,21.9793,2761328
2010-01-29,32.34,32.52,31.95,32.05,21.9383,2373688
2010-02-01,32.2,32.46,31.83,32.18,22.0273,1834628
2010-02-02,32.18,32.62,32.14,32.51,22.2531,1881077
2010-02-03,32.43,32.57,32.21,32.47,22.2258,1071169
2010-02-04,32.28,32.44,31.73,31.81,21.774,2477730
2010-02-05,31.74,32.12,31.37,31.82,21.7808,2663572
2010-02-08,31.87,31.95,31.4,31.4,21.4933,1737654
2010-02-09,31.66,32.17,31.56,32.06,21.9451,2018014
2010-02-10,32.06,32.14,31.56,31.92,21.8493,1374005
2010-02-11,31.73,31.99,31.3,31.93,21.8561,2636183
2010-02-12,31.69,32.0,31.29,31.83,21.7877,3396766
2010-02-16,32.49,33.09,32.4,32.9,22.5201,2948455
2010-02-17,33.09,33.2,32.84,33.0,22.5886,2075042
2010-02-18,32.9,33.08,32.67,32.9,22.5201,2765866
2010-02-19,32.81,33.48,32.63,33.38,22.8487,2581165
2010-02-22,33.51,33.51,33.2101,33.36,22.835,1395910
2010-02-23,32.94,33.28,32.54,32.62,22.3284,2547530
2010-02-24,32.73,32.99,32.5107,32.92,22.5338,3163485
2010-02-25,32.64,33.03,32.42,33.03,22.6091,2507117
2010-02-26,33.04,33.14,32.79,33.02,22.6022,1879754
2010-03-01,33.04,33.45,33.01,33.37,23.0618,2404829
2010-03-02,33.49,33.63,33.4,33.51,23.1586,1690030
2010-03-03,33.52,33.76,33.34,33.5,23.1517,1579263
2010-03-04,33.5,33.6646,33.31,33.47,23.1309,1389857
2010-03-05,33.64,33.86,33.54,33.86,23.4005,1624926
2010-03-08,33.94,33.94,33.555,33.6,23.2208,1645011
2010-03-09,33.58,33.64,33.34,33.62,23.2346,1929809
2010-03-10,33.54,33.59,33.27,33.49,23.1447,2410897
2010-03-11,33.45,33.47,33.11,33.45,23.1171,2142481
2010-03-12,33.45,33.51,33.15,33.42,23.0964,1906673
2010-03-15,33.45,33.73,33.22,33.7,23.2899,2090908
2010-03-16,33.79,33.9885,33.68,33.88,23.4143,2194870
2010-03-17,34.0,34.17,33.88,33.97,23.4765,1658225
2010-03-18,34.04,34.19,33.95,34.1,23.5663,1797894
2010-03-19,34.17,34.47,33.98,34.16,23.6078,4385031
2010-03-22,34.04,34.3,34.0,34.27,23.6838,1962673
2010-03-23,34.42,34.72,34.25,34.69,23.9741,2501745
2010-03-24,34.57,34.6,33.99,34.36,23.746,2415398
2010-03-25,34.58,34.58,34.27,34.27,23.6838,2169905
2010-03-26,34.31,34.64,34.22,34.43,23.7944,4230198
2010-03-29,34.59,34.75,34.34,34.55,23.8773,1697094
2010-03-30,34.63,34.64,34.32,34.44,23.8013,1705062
2010-03-31,34.35,34.57,34.09,34.43,23.7944,1910172
2010-04-01,34.5,34.74,34.4,34.58,23.898,1405081
2010-04-05,34.72,34.8,34.5,34.68,23.9672,1256656
2010-04-06,34.65,35.04,34.59,34.84,24.0777,1816258
2010-04-07,34.81,34.9,34.63,34.68,23.9672,1764872
2010-04-08,34.67,34.8174,34.42,34.61,23.9188,1651163
2010-04-09,34.68,34.8,34.31,34.77,24.0293,1767072
2010-04-12,34.74,34.97,34.71,34.92,24.133,1444107
2010-04-13,34.69,35.0,34.51,34.87,24.0985,1870165
2010-04-14,34.99,35.1,34.75,35.1,24.2574,1890847
2010-04-15,35.01,35.37,34.91,35.14,24.2851,2363201
2010-04-16,35.15,35.39,34.95,35.03,24.209,3290609
2010-04-19,35.0,35.21,34.75,35.11,24.2643,3485545
2010-04-20,35.31,35.39,35.0,35.09,24.2505,2152412
2010-04-21,35.17,35.27,35.0,35.13,24.2781,2407024
2010-04-22,35.11,35.35,34.8,35.24,24.3542,2306580
2010-04-23,35.26,35.55,35.16,35.53,24.5546,2903231
2010-04-26,35.63,35.99,35.58,35.66,24.6444,2305136
2010-04-27,35.72,35.72,34.75,34.77,24.0293,2975288
2010-04-28,34.96,35.33,34.82,35.29,24.3887,3025349
2010-04-29,35.29,35.57,34.75,35.09,24.2505,3835540
2010-04-30,34.97,35.33,34.68,34.68,23.9672,2976916
2010-05-03,34.89,35.54,34.82,35.08,24.2436,2408913
2010-05-04,34.82,34.85,33.99,34.2,23.6354,2219159
2010-05-05,33.82,34.2,33.8,34.04,23.5249,2158083
2010-05-06,33.98,34.21,31.55,33.09,22.8683,4843865
2010-05-07,33.0,33.2,32.21,32.86,22.7094,4936320
2010-05-10,33.81,34.11,33.6,33.98,23.4834,3107762
2010-05-11,33.71,34.3,33.64,33.96,23.4696,1866652
2010-05-12,33.99,34.52,33.91,34.35,23.7391,2954075
2010-05-13,34.35,34.3999,34.0,34.06,23.5387,2284892
2010-05-14,33.9,34.11,33.26,33.47,23.1309,3220657
2010-05-17,33.65,33.9,33.27,33.74,23.3175,2922618
2010-05-18,34.02,34.35,33.72,33.75,23.3244,3391532
2010-05-19,33.58,33.68,33.1,33.3,23.0134,3551064
2010-05-20,32.78,32.99,32.17,32.17,22.2325,4767595
2010-05-21,31.77,32.46,31.48,32.4,22.3915,3706282
2010-05-24,32.32,32.41,31.97,32.02,22.1288,2110304
2010-05-25,31.42,32.065,31.11,32.04,22.1427,3567998
2010-05-26,32.22,32.73,32.15,32.22,22.2671,4036627
2010-05-27,32.57,32.68,32.26,32.68,22.8079,2684170
2010-05-28,32.72,32.84,32.3,32.51,22.6893,3220245
2010-06-01,32.35,32.71,31.92,31.97,22.3124,3349909
2010-06-02,32.04,32.68,31.97,32.68,22.8079,2758235
2010-06-03,32.59,32.87,32.47,32.8,22.8917,2262233
2010-06-04,32.32,32.32,31.45,31.56,22.0263,4284615
2010-06-07,31.62,31.71,31.3181,31.37,21.8937,3182449
2010-06-08,31.39,31.9,31.24,31.85,22.2287,4106016
2010-06-09,31.97,32.26,31.86,31.96,22.3054,3763989
2010-06-10,32.31,32.84,32.23,32.83,22.9126,3960513
2010-06-11,32.64,32.77,32.35,32.77,22.8708,2252865
2010-06-14,33.0,33.28,32.76,32.83,22.9126,2909301
2010-06-15,33.21,33.61,32.97,33.61,23.457,2321922
2010-06-16,33.45,33.73,33.41,33.64,23.4779,2253821
2010-06-17,33.65,33.76,33.44,33.71,23.5268,2295949
2010-06-18,33.68,33.82,33.42,33.53,23.4012,4063571
2010-06-21,33.77,34.12,33.37,33.55,23.4151,2562498
2010-06-22,33.51,33.78,32.9975,33.04,23.0592,2216160
2010-06-23,33.14,33.2099,32.51,32.67,22.801,3236544
2010-06-24,32.57,32.75,32.08,32.14,22.4311,3687533
2010-06-25,32.28,32.38,31.91,32.15,22.438,8698428
2010-06-28,32.39,32.56,32.02,32.3,22.5427,2460375
2010-06-29,31.91,31.99,31.27,31.46,21.9565,3418647
2010-06-30,31.48,31.79,31.22,31.29,21.8378,3160017
2010-07-01,31.25,31.83,31.22,31.65,22.0891,5582460
2010-07-02,31.65,32.06,31.63,31.81,22.2008,4334556
2010-07-06,32.01,32.15,31.5,31.73,22.1449,3232156
2010-07-07,31.72,32.5,31.55,32.48,22.6684,2487021
2010-07-08,32.8,32.94,32.53,32.88,22.9475,2126256
2010-07-09,32.96,35.87,32.41,32.78,22.8777,2362933
2010-07-12,32.76,32.92,32.6,32.74,22.8498,2082649
2010-07-13,33.03,33.25,32.86,33.15,23.136,2277289
2010-07-14,33.04,33.09,32.68,33.06,23.0732,1868605
2010-07-15,33.11,33.24,32.71,33.18,23.1569,2258917
2010-07-16,32.93,33.12,32.33,32.44,22.6404,2599240
2010-07-19,32.5,32.645,32.26,32.47,22.6614,1952866
2010-07-20,32.2,32.69,31.98,32.68,22.8079,2515156
2010-07-21,32.8,32.95,32.485,32.61,22.7591,3985202
2010-07-22,32.74,33.39,32.74,33.35,23.2756,2611537
2010-07-23,33.35,33.6329,33.18,33.59,23.4431,2123111
2010-07-26,33.7,34.14,33.6,34.12,23.8129,2038891
2010-07-27,34.35,34.35,33.96,34.13,23.8199,2425752
2010-07-28,34.23,34.23,33.87,34.12,23.8129,2839214
2010-07-29,34.24,34.45,33.66,34.25,23.9037,2299796
2010-07-30,33.87,34.16,33.26,33.95,23.6943,4020390
2010-08-02,34.37,34.49,34.08,34.46,24.0502,2167756
2010-08-03,34.25,34.5,34.22,34.39,24.0014,1823984
2010-08-04,34.43,34.6,34.325,34.59,24.141,1866063
2010-08-05,34.4,34.46,34.13,34.46,24.0502,1823774
2010-08-06,34.23,34.57,34.08,34.57,24.127,2126598
2010-08-09,34.66,34.75,34.53,34.65,24.1828,1172078
2010-08-10,34.31,34.53,34.06,34.32,23.9525,1529412
2010-08-11,33.97,34.01,33.26,33.33,23.2616,2126166
2010-08-12,32.92,33.21,32.83,33.1,23.1011,2043373
2010-08-13,33.06,33.24,33.0,33.01,23.0383,1241524
2010-08-16,32.83,33.3,32.58,33.25,23.2058,1557470
2010-08-17,33.48,34.45,33.41,33.96,23.7013,2603431
2010-08-18,33.94,34.15,33.71,33.96,23.7013,1328211
2010-08-19,33.89,33.96,33.34,33.48,23.3663,1821793
2010-08-20,33.41,33.67,33.17,33.6,23.45,1782380
2010-08-23,33.77,33.91,33.36,33.52,23.3942,1809133
2010-08-24,33.29,33.65,32.89,33.17,23.1499,2232040
2010-08-25,33.04,33.27,32.56,33.12,23.115,4337230
2010-08-26,33.25,33.42,33.01,33.09,23.0941,1513914
2010-08-27,33.2,33.65,33.02,33.62,23.464,1536698
2010-08-30,33.61,33.74,33.3677,33.43,23.3314,1764409
2010-08-31,33.32,33.44,32.86,33.09,23.0941,3140901
2010-09-01,33.42,34.19,33.33,34.0,23.7292,3051791
2010-09-02,33.82,33.89,33.61,33.84,23.8384,2012307
2010-09-03,33.88,34.19,33.75,34.11,24.0286,1480649
2010-09-07,33.99,34.06,33.75,33.83,23.8313,1520577
2010-09-08,33.9,34.07,33.81,33.92,23.8947,2396784
2010-09-09,34.18,34.25,33.75,33.8,23.8102,1920787
2010-09-10,33.85,34.17,33.8,34.0,23.9511,1309399
2010-09-13,34.25,34.34,34.05,34.16,24.0638,1525712
2010-09-14,34.15,34.46,33.97,34.27,24.1413,1705912
2010-09-15,34.22,34.59,34.04,34.53,24.3245,1677885
2010-09-16,34.48,34.64,34.36,34.54,24.3315,1427791
2010-09-17,34.69,35.18,34.64,35.0,24.6555,3994995
2010-09-20,35.06,35.38,34.91,35.31,24.8739,2821399
2010-09-21,35.31,35.74,35.25,35.6,25.0782,2132127
2010-09-22,35.51,35.92,35.45,35.62,25.0923,2796162
2010-09-23,35.42,35.48,35.01,35.12,24.7401,2051957
2010-09-24,35.55,35.83,35.45,35.76,25.1909,1827228
2010-09-27,35.84,35.87,35.44,35.47,24.9866,1842816
2010-09-28,35.47,35.68,35.077,35.58,25.0641,1945391
2010-09-29,35.3957,35.9,35.3957,35.85,25.2543,1802303
2010-09-30,36.0,36.24,35.59,35.74,25.1768,2440688
2010-10-01,35.9,36.04,35.79,35.93,25.3107,2057597
