date,open,high,low,close,adjusted_close,volume
2010-01-04,21.44,21.65,21.4,21.61,8.4997,7020240
2010-01-05,21.5101,22.02,21.5101,21.88,8.6059,7415481
2010-01-06,21.9699,22.65,21.8,22.59,8.8851,12157139
2010-01-07,22.56,22.57,22.17,22.43,8.8222,6181305
2010-01-08,22.41,22.61,22.2199,22.61,8.893,4703754
2010-01-11,22.7199,22.92,22.31,22.4699,8.8379,6130152
2010-01-12,22.31,22.31,21.7801,21.81,8.5783,6533366
2010-01-13,21.85,22.0301,21.7399,21.83,8.5862,8901987
2010-01-14,21.5,21.9899,21.5,21.7,8.535,8519259
2010-01-15,21.66,21.68,21.23,21.37,8.4052,6786678
2010-01-19,22.7601,23.7601,22.75,23.1,9.0857,27213690
2010-01-20,22.93,23.5301,22.79,23.14,9.1014,15715775
2010-01-21,23.21,23.5,22.55,22.62,8.8969,12856600
2010-01-22,22.38,22.7801,22.08,22.12,8.7002,14050417
2010-01-25,22.4899,22.87,22.38,22.69,8.9244,8727674
2010-01-26,21.7801,22.64,21.7801,22.19,8.7278,10327895
2010-01-27,22.13,22.2801,21.5301,21.98,8.6452,8085378
2010-01-28,22.16,22.43,21.5301,21.7,8.535,13746811
2010-01-29,21.7399,22.2399,20.7,20.84,8.1968,12808759
2010-02-01,21.11,21.4899,20.9899,21.4899,8.4524,10441855
2010-02-02,21.64,22.09,21.32,21.96,8.6373,12138984
2010-02-03,21.84,22.0101,21.59,21.66,8.5193,5698847
2010-02-04,21.48,21.48,20.45,20.4699,8.0512,11911310
2010-02-05,20.27,20.56,19.5101,20.2601,7.9687,17596173
2010-02-08,20.33,20.7601,20.25,20.5,8.0631,11890088
2010-02-09,20.79,21.4,20.7399,21.06,8.2833,13006011
2010-02-10,21.06,21.3,20.71,21.15,8.3187,11099730
2010-02-11,21.08,21.73,20.93,21.69,8.5311,8861629
2010-02-12,21.38,21.69,21.12,21.64,8.5114,8074338
2010-02-16,22.04,22.37,22.04,22.37,8.7986,8519750
2010-02-17,22.39,22.5101,22.18,22.39,8.8064,6692223
2010-02-18,22.12,22.46,21.63,22.16,8.716,10930569
2010-02-19,22.07,22.2601,21.89,22.2399,8.7474,8264598
2010-02-22,22.31,22.4699,21.4699,21.58,8.4878,10017174
2010-02-23,21.4899,21.63,21.04,21.2199,8.3462,8221786
2010-02-24,21.2601,21.62,21.17,21.6,8.4957,9145363
2010-02-25,21.2601,21.77,21.05,21.73,8.5469,6039500
2010-02-26,21.8,21.86,21.4,21.54,8.4721,8651619
2010-03-01,21.63,22.06,21.61,22.06,8.6766,8197252
2010-03-02,22.1,22.44,22.09,22.2801,8.7632,8182655
2010-03-03,22.29,22.71,22.27,22.59,8.8851,6656281
