date,open,high,low,close,adjusted_close,volume
2010-01-04,53.7399,54.6699,53.67,54.2301,13.1965,62259300
2010-01-05,54.09,54.1899,53.5701,53.6901,13.0651,46945200
2010-01-06,53.4999,53.8299,53.4201,53.5701,13.0359,37551600
2010-01-07,53.7201,53.7501,53.2599,53.6001,13.0432,31988100
2010-01-08,53.43,53.5299,53.0199,53.3301,12.9775,34089600
2010-01-11,53.3301,54.4401,53.1,54.21,13.1916,41963100
2010-01-12,54.0,54.75,53.8599,54.7299,13.3181,45351000
2010-01-13,54.7899,55.2,54.4101,55.0101,13.3863,39872100
2010-01-14,54.7299,54.84,54.1599,54.21,13.1916,41316000
2010-01-15,54.3399,54.5499,53.6001,53.6799,13.0626,57262500
2010-01-19,53.91,54.2601,53.4999,54.03,13.1478,43855500
2010-01-20,53.9199,53.94,53.2299,53.8599,13.1064,39925800
2010-01-21,54.0699,54.0699,52.8399,52.92,12.8777,48086100
2010-01-22,52.9599,53.4699,52.6899,52.9401,12.8826,58247700
2010-01-25,53.1399,53.22,52.7799,52.8801,12.868,36009900
2010-01-26,52.8201,53.8599,52.7301,53.61,13.0456,46752000
2010-01-27,53.52,53.7699,53.1,53.4,12.9945,39576300
2010-01-28,53.3799,53.4501,52.5099,52.6101,12.8023,50880300
2010-01-29,53.6799,54.15,53.4,53.43,13.0018,72842400
2010-02-01,53.6199,53.7801,53.31,53.4801,13.014,33058500
2010-02-02,53.5899,53.7201,53.3301,53.49,13.0164,34163700
2010-02-03,53.73,54.5001,53.64,54.27,13.2062,53966700
2010-02-04,53.88,54.3,52.9599,52.9701,12.8899,63089700
2010-02-05,52.77,53.5299,52.7601,53.4501,13.0067,46637400
2010-02-08,53.3799,53.5401,52.92,52.9299,12.8801,31517700
2010-02-09,53.2101,53.6199,52.8201,53.25,12.958,32475000
2010-02-10,53.2701,53.4999,52.9599,53.2401,12.9556,28225200
2010-02-11,53.13,53.4501,52.9101,53.0799,12.9166,34738800
2010-02-12,53.1099,53.1099,52.6599,52.8999,12.8728,51115200
2010-02-16,53.2401,53.7201,52.8999,53.5599,13.0334,47313600
2010-02-17,53.6901,54.2499,53.6499,54.06,13.1551,46602600
2010-02-18,53.1999,53.4999,52.9101,53.4699,13.0115,88372500
2010-02-19,53.19,53.58,53.07,53.49,13.0164,45271200
2010-02-22,53.52,53.9199,53.34,53.8299,13.0991,36291600
2010-02-23,53.7501,54.0801,53.4501,53.6199,13.048,42414000
2010-02-24,53.7399,53.9499,53.4801,53.9199,13.121,31872600
2010-02-25,53.46,54.2799,53.25,54.15,13.177,40530300
2010-02-26,54.2199,54.24,53.4999,54.0699,13.1575,47858700
2010-03-01,54.0399,54.1299,53.5401,53.9001,13.1162,36386100
2010-03-02,53.8299,53.8899,53.4699,53.5899,13.0407,42245100
2010-03-03,53.3499,53.7501,53.1501,53.6601,13.0578,34893600
2010-03-04,54.0201,54.09,53.7501,53.9601,13.1308,33635400
2010-03-05,53.97,54.1701,53.4999,54.1401,13.1746,34125300
2010-03-08,54.0099,54.2799,53.9301,54.15,13.177,22670100
2010-03-09,54.12,54.5001,53.9199,54.06,13.1551,37753800
2010-03-10,53.67,54.0201,53.5299,53.6301,13.1239,38091000
2010-03-11,53.64,53.9901,53.5299,53.97,13.2071,32021700
2010-03-12,54.1599,54.24,53.79,53.9001,13.19,31433700
2010-03-15,54.39,55.5399,54.3501,55.4199,13.5619,73121700
2010-03-16,55.8801,56.2701,55.5999,55.9899,13.7014,55359000
2010-03-17,56.0499,56.13,55.6599,55.92,13.6843,37485600
2010-03-18,55.89,55.95,55.5399,55.9401,13.6892,28416600
2010-03-19,55.3401,56.2701,55.1499,55.3401,13.5424,51552300
2010-03-22,55.3101,55.9401,55.1301,55.62,13.6109,29622300
2010-03-23,55.6299,56.0001,55.6101,55.89,13.6769,28107900
2010-03-24,55.7301,56.0001,55.4301,55.5801,13.6011,26096700
2010-03-25,55.6299,55.9899,55.5999,55.6101,13.6084,29379300
