date,open,high,low,close,adjusted_close,volume
2010-01-04,24.7901,24.8201,24.47,24.51,8.3084,4277751
2010-01-05,24.4601,24.4601,24.27,24.42,8.2779,2573473
2010-01-06,24.4001,24.54,24.24,24.47,8.2948,2698054
2010-01-07,24.4001,24.615,24.1901,24.57,8.3287,2229748
2010-01-08,24.4601,24.57,24.38,24.5501,8.322,1565210
2010-01-11,24.59,24.62,24.3,24.6,8.3389,1288487
2010-01-12,24.44,24.75,24.44,24.7001,8.3728,2052925
2010-01-13,24.8201,25.19,24.72,25.16,8.5287,2391599
2010-01-14,25.05,25.1501,24.7601,24.95,8.4576,2390875
2010-01-15,24.86,25.07,24.8501,24.93,8.4508,2500767
2010-01-19,24.93,25.0901,24.59,24.7901,8.4033,3727012
2010-01-20,24.6701,24.95,24.65,24.8501,8.4237,2084641
2010-01-21,24.93,25.1,24.74,25.01,8.4779,4108556
2010-01-22,25.13,25.17,24.5801,24.7001,8.3728,2684749
2010-01-25,24.92,24.96,24.59,24.7901,8.4033,1361929
2010-01-26,24.68,25.0001,24.62,24.7001,8.3728,1288879
2010-01-27,24.6401,24.9,24.39,24.7001,8.3728,2191957
2010-01-28,24.74,24.74,24.41,24.47,8.2948,1648089
2010-01-29,24.47,24.5801,24.33,24.33,8.2474,3148666
2010-02-01,24.4601,24.54,24.26,24.47,8.2948,2224881
2010-02-02,24.47,24.54,24.3701,24.47,8.2948,2438966
2010-02-03,24.38,24.39,24.18,24.21,8.2067,1798852
2010-02-04,24.1001,24.41,24.08,24.11,8.1728,2524192
2010-02-05,24.06,24.41,23.8901,24.18,8.1965,2426958
2010-02-08,24.14,24.365,23.9,24.23,8.2135,2163755
2010-02-09,24.51,25.25,24.42,24.92,8.4474,3775806
2010-02-10,24.92,25.0301,24.6701,24.96,8.461,1983004
2010-02-11,24.8801,25.11,24.83,25.04,8.4881,2342635
2010-02-12,24.8801,25.1,24.68,25.0901,8.505,3510232
2010-02-16,25.16,25.2701,24.89,25.22,8.5491,1742044
2010-02-17,25.2101,25.34,25.05,25.1501,8.5254,1291471
2010-02-18,25.1501,25.5401,25.11,25.5401,8.6576,1396798
2010-02-19,25.46,25.58,25.37,25.55,8.6609,1088541
2010-02-22,25.55,25.6301,25.4,25.56,8.6643,994156
2010-02-23,25.5701,25.7501,25.49,25.59,8.6745,1491176
2010-02-24,25.68,25.9001,25.56,25.77,8.7355,1829412
2010-02-25,25.56,25.9301,25.43,25.91,8.783,2109170
2010-02-26,25.9301,25.97,25.68,25.74,8.7254,1428221
2010-03-01,25.7201,25.91,25.7,25.91,8.783,844123
2010-03-02,25.95,26.07,25.89,25.9901,8.8101,1173238
2010-03-03,25.98,26.2301,25.8675,26.1,8.8474,1700444
2010-03-04,26.0801,26.2151,26.03,26.1,8.8474,1224628
2010-03-05,26.25,26.42,26.0201,26.4101,8.9525,2014351
2010-03-08,26.4701,26.75,26.3501,26.73,9.0609,1739227
2010-03-09,26.24,26.4701,26.2001,26.25,8.8982,2533489
2010-03-10,26.21,26.2901,26.0,26.15,8.8643,1803357
2010-03-11,26.0801,26.33,26.0201,26.27,8.905,1515539
2010-03-12,26.39,26.39,25.98,26.09,8.844,1371798
2010-03-15,26.0,26.0,25.74,25.88,8.7728,1685506
2010-03-16,25.9001,25.91,25.58,25.79,8.7423,1550443
2010-03-17,25.79,25.89,25.56,25.67,8.7188,2628304
2010-03-18,25.6001,25.76,25.52,25.6301,8.7052,1996306
2010-03-19,25.82,25.82,25.5101,25.6301,8.7052,2914641
2010-03-22,25.5401,25.8,25.52,25.59,8.6916,809172
2010-03-23,25.62,25.7201,25.49,25.7,8.729,1104264
2010-03-24,25.68,25.79,25.59,25.6601,8.7154,1097071
2010-03-25,25.5701,25.9901,25.52,25.7801,8.7562,1695674
2010-03-26,25.8,26.01,25.7501,25.9001,8.7969,1707075
2010-03-29,26.0801,26.19,25.94,26.19,8.8954,1142966
2010-03-30,26.2001,26.31,26.0801,26.15,8.8818,1106435
2010-03-31,26.1,26.265,26.0201,26.09,8.8615,1588815
2010-04-01,26.2301,26.36,26.0501,26.16,8.8852,1315575
2010-04-05,26.15,26.15,25.9901,26.12,8.8717,1500806
2010-04-06,26.0,26.24,25.98,26.2001,8.8988,1133559
2010-04-07,26.12,26.4,26.12,26.3201,8.9396,1236832
2010-04-08,26.2001,26.3501,26.0801,26.1101,8.8683,865109
2010-04-09,26.16,26.19,25.9901,26.1,8.8649,963389
2010-04-12,26.04,26.3201,25.98,26.31,8.9362,1077149
2010-04-13,26.22,26.36,26.1701,26.28,8.926,1259293
2010-04-14,26.39,27.0401,26.39,27.0401,9.1841,1429535
2010-04-15,26.94,27.24,26.8901,27.1301,9.2147,1317215
2010-04-16,27.0401,27.345,26.94,27.0,9.1706,4663044
2010-04-19,26.8901,27.18,26.84,27.1301,9.2147,2301430
2010-04-20,27.26,27.44,26.9775,27.29,9.2691,2689450
2010-04-21,27.24,27.75,27.24,27.75,9.4253,3221102
2010-04-22,27.56,27.87,27.51,27.8501,9.4593,3111878
2010-04-23,27.92,28.1201,27.7001,27.9101,9.4796,1728585
2010-04-26,27.96,27.96,27.71,27.84,9.4559,1932678
2010-04-27,27.68,27.95,26.84,26.84,9.1162,3432933
2010-04-28,27.0,27.5501,27.0,27.2501,9.2555,3101402
2010-04-29,27.4601,27.48,27.03,27.32,9.2792,2546053
2010-04-30,27.36,27.42,26.96,27.0,9.1706,3065796
2010-05-03,27.02,27.3401,27.0,27.32,9.2792,1663729
2010-05-04,27.15,27.2501,26.75,27.09,9.2011,3241201
2010-05-05,26.79,27.32,26.76,27.0401,9.1841,3216652
2010-05-06,27.0,27.24,25.8,26.7,9.0687,4706034
2010-05-07,26.6801,26.99,26.36,26.46,8.9871,5895063
2010-05-10,27.03,27.3401,26.93,27.3401,9.286,4036657
2010-05-11,27.1001,27.84,27.0,27.74,9.4219,3929573
2010-05-12,27.84,27.84,27.2801,27.4001,9.3064,3418265
2010-05-13,27.21,27.4901,27.17,27.17,9.2283,2351909
2010-05-14,27.08,27.2201,26.85,27.0,9.1706,3662059
2010-05-17,27.1001,27.81,27.0701,27.77,9.4321,3762344
2010-05-18,28.0001,28.0301,27.1601,27.1901,9.2351,2557159
2010-05-19,27.21,27.36,26.9501,27.2201,9.2453,2033089
2010-05-20,26.84,27.0101,26.43,26.4401,8.9803,3662950
2010-05-21,26.2301,26.3801,25.9901,26.37,8.9566,5267207
2010-05-24,26.2901,26.58,26.13,26.2601,8.9192,3343320
2010-05-25,25.8101,26.5901,25.6901,26.5601,9.0211,5228316
