date,open,high,low,close,adjusted_close,volume
2010-01-04,39.56,39.72,39.31,39.47,17.6326,232730
2010-01-05,39.52,39.52,38.76,38.97,17.4092,245796
2010-01-06,38.87,39.04,38.42,38.59,17.2394,272676
2010-01-07,38.58,38.77,38.15,38.71,17.293,130514
2010-01-08,38.46,38.88,38.46,38.7,17.2886,146028
2010-01-11,38.91,38.91,38.29,38.53,17.2126,282490
2010-01-12,38.36,38.57,38.23,38.39,17.1501,203360
2010-01-13,38.42,38.68,38.05,38.48,17.1903,340990
2010-01-14,38.34,38.63,38.1901,38.52,17.2082,279826
2010-01-15,38.34,38.5,37.57,38.17,17.1229,295678
2010-01-19,38.36,38.96,38.27,38.82,17.4145,217718
2010-01-20,38.62,38.84,38.04,38.46,17.253,225714
2010-01-21,38.55,38.55,37.6,37.73,16.9255,222900
2010-01-22,37.7,37.89,37.11,37.16,16.6698,129134
2010-01-25,37.31,37.31,36.56,36.7,16.4635,174400
2010-01-26,36.6,36.75,36.31,36.33,16.2975,198352
2010-01-27,36.06,36.59,36.0,36.51,16.3783,317634
2010-01-28,36.57,36.57,35.74,35.95,16.127,282336
2010-01-29,36.02,36.45,36.0,36.33,16.2975,220706
2010-02-01,36.39,36.39,35.84,36.22,16.2482,163984
2010-02-02,36.18,36.81,36.0,36.69,16.459,215264
2010-02-03,36.52,36.64,36.09,36.42,16.3379,198356
2010-02-04,36.25,36.25,35.44,35.49,15.9207,221204
2010-02-05,35.54,35.93,35.07,35.9,16.1046,362412
2010-02-08,35.85,35.85,35.45,35.51,15.9297,345798
2010-02-09,35.94,36.24,35.44,36.13,16.2078,370478
2010-02-10,35.93,35.95,35.33,35.78,16.0508,166196
2010-02-11,35.58,36.35,35.22,36.31,16.2885,221088
2010-02-12,36.01,36.49,35.92,36.49,16.3693,260462
2010-02-16,36.68,36.79,36.05,36.79,16.5039,117716
2010-02-17,36.81,36.98,36.68,36.97,16.5846,166272
2010-02-18,37.0,39.18,36.99,39.01,17.4998,534676
2010-02-19,39.0,39.0,38.02,38.22,17.1454,363340
2010-02-22,38.45,38.56,37.97,38.03,17.0601,264156
2010-02-23,38.16,38.62,38.08,38.49,17.2665,496664
2010-02-24,38.49,38.92,38.34,38.65,17.3383,199784
2010-02-25,38.27,39.15,38.26,39.14,17.5581,304760
2010-02-26,39.28,39.5,38.9,38.95,17.4728,383554
2010-03-01,39.19,40.26,39.08,40.14,18.0067,595916
2010-03-02,40.08,40.71,39.93,40.54,18.1861,482406
2010-03-03,40.73,40.805,40.45,40.47,18.1547,203824
2010-03-04,40.44,40.5,40.08,40.49,18.1637,128278
2010-03-05,40.64,40.92,40.39,40.87,18.3341,194394
2010-03-08,40.74,40.968,40.51,40.57,18.1996,109198
2010-03-09,40.36,40.8,40.29,40.73,18.2713,139240
2010-03-10,40.61,40.96,40.48,40.95,18.37,226198
2010-03-11,40.66,40.95,40.59,40.65,18.2355,181942
