date,open,high,low,close,adjusted_close,volume
2010-01-04,26.72,26.77,26.37,26.77,52.8647,348013
2010-01-05,26.65,27.02,26.5,26.71,52.7462,339508
2010-01-06,26.75,27.18,26.53,27.14,53.5954,585051
2010-01-07,27.23,27.4,26.92,27.06,53.4374,328678
2010-01-08,26.98,27.1,26.92,27.03,53.3781,279353
2010-01-11,27.07,27.4,26.97,27.3,53.9113,254267
2010-01-12,27.07,27.54,26.97,27.37,54.0496,417004
2010-01-13,27.37,27.57,27.27,27.43,54.168,193299
2010-01-14,27.34,27.59,27.28,27.37,54.0496,272419
2010-01-15,27.3,27.48,27.01,27.05,53.4176,226735
2010-01-19,26.98,27.47,26.94,27.36,54.0298,118372
2010-01-20,27.31,27.8,27.28,27.67,54.642,294969
2010-01-21,27.8,27.89,27.4,27.45,54.2075,183440
2010-01-22,27.14,27.32,26.96,26.97,53.2596,344222
2010-01-25,27.11,27.28,26.88,27.02,53.3584,672704
2010-01-26,26.89,26.95,26.53,26.76,52.8449,608046
2010-01-27,26.66,26.75,26.12,26.62,52.5685,502672
2010-01-28,26.66,26.7,26.17,26.18,51.6996,313403
2010-01-29,26.19,28.43,26.07,26.23,51.7983,354260
2010-02-01,26.33,26.51,26.28,26.4,52.134,294370
2010-02-02,26.32,27.11,26.32,26.96,53.2399,564653
2010-02-03,26.92,27.57,26.85,27.42,54.1483,485948
2010-02-04,27.15,28.48,27.09,28.23,55.7479,732645
2010-02-05,28.11,28.3,27.91,28.11,55.5109,819106
2010-02-08,28.15,28.18,27.78,27.78,54.8592,368044
2010-02-09,27.9,27.9598,27.73,27.87,55.0369,253982
2010-02-10,27.98,28.02,27.71,27.81,54.9185,150455
2010-02-11,27.68,27.9,27.65,27.83,54.9579,250896
2010-02-12,27.66,27.83,27.655,27.75,54.8,173355
2010-02-16,27.76,27.92,27.59,27.88,55.0567,243205
2010-02-17,28.09,28.4,28.03,28.25,55.7874,337141
2010-02-18,28.1,28.27,28.03,28.18,55.6491,154164
2010-02-19,28.1,28.84,28.1,28.7,56.676,341535
2010-02-22,28.81,28.97,28.77,28.96,57.1894,215211
2010-02-23,28.88,29.9,28.84,29.26,57.7819,641590
2010-02-24,29.22,29.83,29.18,29.39,58.0386,389545
2010-02-25,29.14,29.55,29.09,29.42,58.0978,470509
2010-02-26,29.47,29.79,29.42,29.78,58.8088,354261
2010-03-01,29.77,30.26,29.71,30.17,59.5789,345339
2010-03-02,30.27,30.61,29.97,30.32,59.8751,287851
2010-03-03,30.47,30.7,30.14,30.19,59.6184,323931
2010-03-04,30.26,30.46,30.11,30.46,60.1516,265747
2010-03-05,30.47,30.67,30.26,30.64,60.5071,243864
2010-03-08,30.73,31.07,30.53,30.76,60.744,415678
2010-03-09,30.66,31.5,30.66,31.26,61.7314,390326
2010-03-10,31.25,31.36,31.0899,31.21,61.6327,206961
2010-03-11,31.25,31.43,30.95,31.3,61.8104,261319
2010-03-12,31.25,31.5,31.21,31.43,62.0671,165191
2010-03-15,31.33,31.59,31.1,31.46,62.1264,210374
2010-03-16,31.4,31.8,31.39,31.74,62.6793,133759
2010-03-17,31.81,31.97,31.72,31.84,62.8768,235294
2010-03-18,31.71,32.0,31.67,31.83,62.857,296425
2010-03-19,31.65,31.73,31.19,31.36,61.9289,375619
2010-03-22,31.36,31.68,31.25,31.61,62.4226,207184
2010-03-23,31.67,32.0,31.58,31.92,63.0348,313506
2010-03-24,31.83,31.9299,31.39,31.53,62.2646,222673
2010-03-25,31.64,32.0,31.53,31.88,62.9558,219735
2010-03-26,31.85,32.14,31.73,31.84,62.8768,206011
2010-03-29,31.73,31.98,31.44,31.97,63.6533,267837
2010-03-30,31.94,32.1,31.84,31.84,63.3944,129213
2010-03-31,31.71,31.82,31.24,31.29,62.2994,291281
2010-04-01,31.37,31.79,31.08,31.33,62.379,375531
2010-04-05,31.28,31.66,31.25,31.56,62.8369,182834
2010-04-06,31.58,31.63,31.195,31.62,62.9564,188008
2010-04-07,31.6,31.84,31.425,31.84,63.3944,260105
2010-04-08,31.66,31.92,31.61,31.92,63.5537,185003
2010-04-09,32.0,32.18,31.84,32.0,63.713,183934
2010-04-12,32.07,32.2,31.67,32.02,63.7528,194613
2010-04-13,32.2,32.39,31.96,32.04,63.7926,203018
2010-04-14,32.23,32.49,32.08,32.45,64.609,171135
2010-04-15,32.31,32.57,32.27,32.38,64.4696,110664
2010-04-16,32.29,32.54,32.2,32.35,64.4099,202965
2010-04-19,32.16,32.37,31.82,32.04,63.7926,152164
2010-04-20,32.07,33.0,31.98,33.0,65.704,317592
2010-04-21,33.0,33.59,32.81,33.39,66.4805,350447
2010-04-22,33.1,33.35,32.92,33.23,66.162,397203
2010-04-23,33.3,33.57,33.13,33.44,66.5801,291961
2010-04-26,33.4,33.65,33.25,33.33,66.3611,170763
2010-04-27,33.32,33.5,33.02,33.02,65.7438,424808
2010-04-28,33.15,33.25,32.76,33.2,66.1022,417725
2010-04-29,34.14,34.98,34.1075,34.84,69.3675,763794
2010-04-30,34.89,34.89,34.15,34.45,68.591,581254
2010-05-03,34.45,34.92,34.38,34.85,69.3874,201186
2010-05-04,34.67,34.67,33.57,33.87,67.4362,273026
2010-05-05,33.69,33.7,33.05,33.12,65.9429,300283
2010-05-06,33.06,33.35,31.5,32.58,64.8678,469368
2010-05-07,32.73,32.82,31.7,31.81,63.3347,512837
2010-05-10,32.81,33.01,32.36,32.95,65.6045,356636
2010-05-11,32.48,33.18,32.38,32.9,65.5049,277618
2010-05-12,32.99,33.2,32.67,33.1,65.9031,312461
2010-05-13,33.11,33.25,32.9,32.92,65.5447,176094
2010-05-14,32.66,32.91,31.93,32.14,63.9917,354681
2010-05-17,32.24,32.325,31.46,32.03,63.7727,440734
2010-05-18,32.27,32.36,30.9,30.98,61.6821,545043
2010-05-19,30.84,31.37,30.74,31.32,62.3591,484700
2010-05-20,30.71,31.0,30.17,30.25,60.2287,423687
2010-05-21,29.76,30.57,29.76,30.57,60.8658,321944
2010-05-24,30.42,30.57,30.06,30.11,59.9499,119079
2010-05-25,29.64,29.68,28.94,29.68,59.0938,791000
2010-05-26,29.87,30.18,29.71,29.79,59.3128,316509
2010-05-27,30.3,30.8,30.02,30.75,61.2242,247461
2010-05-28,30.79,30.85,30.5,30.62,60.9654,277849
2010-06-01,30.48,30.79,30.29,30.45,60.6269,242302
2010-06-02,30.6,30.6,29.96,30.35,60.4278,771670
2010-06-03,31.04,31.35,30.68,31.34,62.3989,611993
2010-06-04,30.69,30.88,30.44,30.62,60.9654,384619
2010-06-07,30.63,30.97,30.33,30.42,60.5672,460502
2010-06-08,30.42,30.87,30.16,30.82,61.3636,461586
2010-06-09,31.02,31.435,30.81,30.93,61.5826,367311
2010-06-10,32.22,32.23,31.4,31.78,63.275,394995
2010-06-11,31.42,31.91,31.42,31.74,63.1953,442875
2010-06-14,31.76,31.76,30.88,31.38,62.4786,717247
2010-06-15,31.5,31.8,31.5,31.8,63.3148,350172
2010-06-16,31.7,32.38,31.68,32.25,64.2108,394140
2010-06-17,32.3,32.32,31.95,32.12,63.9519,323038
2010-06-18,32.16,32.25,31.95,32.18,64.0714,249060
2010-06-21,32.6,32.73,32.18,32.37,64.4497,318337
2010-06-22,32.47,32.47,32.02,32.1,63.9121,142349
2010-06-23,32.01,32.14,31.48,31.55,62.817,260949
2010-06-24,31.43,31.62,31.15,31.3,62.3193,556651
2010-06-25,31.16,31.36,31.07,31.09,61.9012,479271
2010-06-28,31.14,31.14,30.69,31.02,62.2826,623638
2010-06-29,30.64,30.98,30.2,30.31,60.8571,511635
2010-06-30,30.38,30.57,29.98,30.05,60.335,180826
2010-07-01,30.01,30.19,29.53,30.16,60.5559,262118
2010-07-02,30.13,30.33,29.98,30.23,60.6964,354204
2010-07-06,30.37,30.58,30.12,30.53,61.2988,673281
2010-07-07,30.45,30.95,30.37,30.9,62.0417,482131
2010-07-08,31.0,31.12,30.85,31.07,62.383,413133
2010-07-09,31.05,31.74,31.0,31.5,63.2464,409045
2010-07-12,31.43,31.58,31.22,31.5,63.2464,272716
2010-07-13,31.77,32.15,31.69,32.1,64.4511,407188
2010-07-14,32.05,32.06,31.63,31.95,64.1499,196354
2010-07-15,31.89,31.95,31.55,31.8,63.8487,198391
2010-07-16,31.67,31.76,31.37,31.37,62.9853,303473
2010-07-19,31.5,31.69,31.33,31.63,63.5074,334709
2010-07-20,31.35,31.84,31.17,31.8,63.8487,544418
2010-07-21,31.87,31.91,31.6,31.75,63.7483,292331
2010-07-22,31.98,32.16,31.89,32.1,64.4511,365401
2010-07-23,31.98,32.22,31.94,32.09,64.431,308781
2010-07-26,32.09,32.13,31.88,32.05,64.3507,345752
2010-07-27,32.09,32.29,31.87,32.05,64.3507,156217
2010-07-28,31.96,32.01,31.7651,31.96,64.17,324757
2010-07-29,29.34,31.46,29.34,30.22,60.6764,1219155
2010-07-30,30.09,30.64,29.94,30.6,61.4393,288598
2010-08-02,31.0,31.3,30.62,31.27,62.7846,517800
2010-08-03,31.29,31.29,30.9,30.95,62.1421,229162
2010-08-04,30.95,31.07,30.57,30.73,61.7003,298082
2010-08-05,30.74,30.87,30.52,30.62,61.4795,204068
2010-08-06,30.49,30.92,30.295,30.9,62.0417,209358
2010-08-09,30.94,31.2,30.705,31.18,62.6039,257748
2010-08-10,30.87,30.9,30.53,30.79,61.8208,218291
2010-08-11,30.44,30.44,30.05,30.2,60.6362,246559
2010-08-12,29.96,30.08,29.86,29.95,60.1342,264841
2010-08-13,29.95,30.03,29.85,29.92,60.074,158091
2010-08-16,29.71,30.01,29.59,29.95,60.1342,153501
2010-08-17,30.12,30.34,29.92,30.29,60.8169,222147
2010-08-18,30.3,30.58,30.0,30.5,61.2385,125495
2010-08-19,30.46,30.5,29.7844,30.02,60.2748,121159
2010-08-20,29.94,29.98,29.69,29.93,60.0941,142182
2010-08-23,30.04,30.14,29.86,29.9,60.0339,92369
2010-08-24,29.81,29.81,29.3,29.32,58.8693,125408
2010-08-25,29.14,29.34,28.96,29.23,58.6886,182076
2010-08-26,29.27,29.51,29.12,29.13,58.4878,193553
2010-08-27,29.22,29.49,28.91,29.39,59.0099,267800
2010-08-30,29.28,29.53,29.15,29.2,58.6284,175982
2010-08-31,29.17,29.55,28.94,29.04,58.3071,202271
2010-09-01,29.34,29.83,29.17,29.82,59.8732,268085
2010-09-02,29.81,30.24,29.72,30.19,60.6161,197025
2010-09-03,30.27,30.48,30.21,30.48,61.1984,154924
2010-09-07,30.29,30.59,30.29,30.47,61.1783,200020
2010-09-08,30.46,30.7,30.4,30.52,61.2787,304043
2010-09-09,30.73,30.73,30.43,30.68,61.6,226045
2010-09-10,30.83,31.02,30.67,30.99,62.2224,302596
2010-09-13,31.09,31.4,31.05,31.26,62.7645,295434
2010-09-14,31.3,31.32,31.1201,31.23,62.7043,200239
2010-09-15,31.03,31.3,31.0013,31.2,62.644,124727
2010-09-16,31.18,31.28,31.05,31.19,62.6239,109872
2010-09-17,31.46,31.46,31.06,31.13,62.5035,152179
2010-09-20,31.3,31.3,31.0,31.24,62.7243,171504
2010-09-21,31.31,31.33,30.96,31.01,62.2625,243889
2010-09-22,30.96,31.06,30.8,31.0,62.2425,193309
2010-09-23,30.81,31.02,30.68,30.69,61.62,122987
2010-09-24,31.07,31.3,31.0,31.15,62.5436,144786
