date,open,high,low,close,adjusted_close,volume
2010-01-04,17.3298,17.543,17.1521,17.4838,10.6422,4643059
2010-01-05,17.4877,17.8629,17.2508,17.855,10.8681,4367291
2010-01-06,17.4996,17.8589,17.3535,17.6575,10.748,5710626
2010-01-07,17.5865,17.6259,17.2785,17.5786,10.6999,3598014
2010-01-08,17.472,17.5509,17.2548,17.4167,10.6014,3317695
2010-01-11,17.4285,17.5667,17.2864,17.5312,10.6711,2828269
2010-01-12,17.3811,17.5312,17.1087,17.3259,10.5461,2298451
2010-01-13,17.3456,17.5312,17.1442,17.4838,10.6422,1841240
2010-01-14,17.3772,17.4285,17.16,17.318,10.5413,1976148
2010-01-15,17.3298,17.4206,17.1363,17.2114,10.4764,3396090
2010-01-19,17.2074,17.6654,17.1758,17.6575,10.748,2051362
2010-01-20,17.5075,17.622,17.2469,17.3653,10.5701,3204859
2010-01-21,17.3535,17.4206,16.5678,16.5717,10.087,4385895
2010-01-22,16.4888,16.6862,16.2558,16.2914,9.9164,4862245
2010-01-25,16.5283,16.6427,16.1729,16.3664,9.9621,4139903
2010-01-26,16.2914,16.5835,16.2321,16.4098,9.9885,3689845
2010-01-27,16.3348,16.3624,15.9873,16.2874,9.9422,6071847
2010-01-28,16.398,16.4454,15.8333,15.9834,9.7566,3507346
2010-01-29,16.1216,16.3861,15.7425,15.7544,9.6168,5215593
2010-02-01,15.9439,16.1927,15.7465,16.1887,9.8819,5093110
2010-02-02,16.2084,16.8126,16.0229,16.7652,10.2338,5694432
2010-02-03,16.7217,16.7928,16.3861,16.4888,10.0651,5457102
2010-02-04,16.5006,16.5006,15.8965,15.9478,9.7349,5642098
2010-02-05,15.8018,15.8965,15.1029,15.5767,9.5083,11481128
2010-02-08,15.5964,15.8807,15.478,15.4977,9.4601,5450031
2010-02-09,15.7228,15.8965,15.4069,15.7109,9.5903,5178900
2010-02-10,15.7109,15.7465,15.2806,15.4977,9.4601,3115573
2010-02-11,15.5214,15.6715,15.3595,15.6438,9.5493,3036436
2010-02-12,15.403,15.6399,15.2648,15.6122,9.53,4403740
2010-02-16,15.8018,16.0071,15.7504,15.9834,9.7566,4122527
2010-02-17,16.0939,16.1769,15.7741,15.9202,9.718,3896280
2010-02-18,15.8254,16.0584,15.8018,16.0308,9.7855,3550874
2010-02-19,15.9913,16.4177,15.9242,16.3032,9.9518,5106092
