date,open,high,low,close,adjusted_close,volume
2010-01-04,33.58,34.02,33.45,34.02,24.9772,7567498
2010-01-05,34.08,34.18,33.81,34.13,25.058,8839154
2010-01-06,34.14,34.83,34.08,34.71,25.4838,8091942
2010-01-07,34.54,34.58,34.16,34.44,25.2856,5757206
2010-01-08,34.36,34.92,34.28,34.92,25.638,4642352
2010-01-11,35.36,35.38,34.575,34.73,25.4985,9108816
2010-01-12,34.23,34.41,33.73,34.07,25.0139,13162150
2010-01-13,34.16,34.5,33.75,34.47,25.3076,11943090
2010-01-14,34.45,34.52,34.0,34.05,24.9992,9615492
2010-01-15,34.01,34.14,33.63,33.8,24.8157,7605245
2010-01-19,33.85,34.35,33.7,34.34,25.2121,6801639
2010-01-20,33.9,34.0,33.42,33.73,24.7643,11503750
2010-01-21,33.77,33.77,32.26,32.27,23.6924,19816359
2010-01-22,32.18,32.57,31.55,31.63,23.2225,20047721
2010-01-25,31.96,32.24,31.795,31.91,23.4281,10305080
2010-01-26,31.56,31.99,31.36,31.46,23.0977,16784391
2010-01-27,31.31,31.54,30.65,31.19,22.8994,19709211
2010-01-28,31.39,31.48,30.48,30.63,22.4883,16372920
2010-01-29,30.87,31.315,30.12,30.14,22.1285,16120610
2010-02-01,30.46,31.34,30.46,31.34,23.0096,17280631
2010-02-02,31.48,31.6,31.02,31.44,23.083,16039660
2010-02-03,31.32,31.62,30.98,31.08,22.8187,18106750
2010-02-04,30.66,30.75,29.9,29.92,21.967,22808949
2010-02-05,30.01,30.49,29.48,30.48,22.3782,32251641
2010-02-08,30.54,30.72,29.96,29.99,22.0184,20472279
2010-02-09,30.45,31.04,30.251,30.72,22.5544,28743961
2010-02-10,30.76,30.82,30.13,30.51,22.4002,21552529
2010-02-11,30.49,31.07,30.34,31.03,22.782,19472061
2010-02-12,30.48,31.14,30.34,30.97,22.7379,19623211
2010-02-16,31.36,31.8025,31.34,31.75,23.3106,10514200
2010-02-17,31.95,32.09,31.55,31.77,23.3253,29396680
2010-02-18,31.63,32.22,31.6,32.11,23.5749,19628570
2010-02-19,31.87,32.46,31.85,32.29,23.707,15213410
2010-02-22,32.41,32.58,32.03,32.15,23.6043,11496870
2010-02-23,32.05,32.22,31.45,31.64,23.2298,20080359
2010-02-24,31.69,31.955,31.39,31.56,23.1711,15965300
2010-02-25,31.09,31.54,30.79,31.49,23.1197,20458990
2010-02-26,31.65,31.65,31.21,31.5,23.127,15333460
2010-03-01,31.67,32.01,31.5,31.98,23.4794,19751311
2010-03-02,32.23,32.51,32.16,32.25,23.6777,19429449
2010-03-03,32.45,33.01,32.41,32.53,23.8833,14108130
2010-03-04,32.63,32.87,32.49,32.75,24.0448,13373980
2010-03-05,33.05,33.3833,32.93,33.17,24.3531,11670270
2010-03-08,33.3,33.41,32.99,33.17,24.3531,14462900
2010-03-09,32.97,33.29,32.84,32.96,24.199,15458390
2010-03-10,32.97,33.25,32.7301,32.97,24.2063,20825090
2010-03-11,32.85,33.16,32.58,33.16,24.3458,14517250
2010-03-12,33.33,33.53,33.22,33.29,24.4412,11531780
2010-03-15,33.27,33.32,33.0,33.28,24.4339,9495393
2010-03-16,33.39,33.77,33.38,33.77,24.7937,13585730
2010-03-17,33.88,34.19,33.85,33.96,24.9331,8827280
2010-03-18,33.97,34.19,33.67,33.72,24.7569,12124020
2010-03-19,33.7,33.92,33.24,33.28,24.4869,10626320
2010-03-22,33.01,33.805,32.85,33.77,24.8474,11267120
2010-03-23,33.8,34.21,33.61,34.21,25.1711,14731270
2010-03-24,33.99,34.33,33.89,34.11,25.0976,8452400
2010-03-25,34.42,34.42,33.4,33.43,24.5972,19040221
2010-03-26,33.58,33.99,33.45,33.68,24.7812,15472360
2010-03-29,34.0,34.2,33.87,34.04,25.0461,8591659
2010-03-30,34.02,34.33,33.85,34.09,25.0828,8463176
2010-03-31,34.01,34.21,33.82,33.92,24.9578,7774516
2010-04-01,34.26,34.56,34.215,34.51,25.3919,7970843
2010-04-05,34.61,34.94,34.49,34.93,25.7009,6589244
2010-04-06,34.76,35.1,34.75,34.99,25.7451,8607494
2010-04-07,34.87,35.16,34.5862,34.77,25.5832,10378110
2010-04-08,34.55,34.88,34.4,34.85,25.642,8287577
2010-04-09,35.0,35.0,34.71,34.91,25.6862,8375977
2010-04-12,34.93,35.03,34.6975,34.8,25.6053,5752343
2010-04-13,34.68,34.77,34.44,34.67,25.5096,7053696
2010-04-14,34.83,34.94,34.68,34.93,25.7009,7314021
2010-04-15,34.88,35.02,34.74,34.93,25.7009,7527493
2010-04-16,34.75,34.92,34.05,34.33,25.2594,16872750
2010-04-19,34.07,34.39,33.74,34.34,25.2668,11292890
2010-04-20,34.61,34.72,34.3,34.449,25.347,5805247
2010-04-21,34.52,34.52,34.02,34.36,25.2815,11031960
2010-04-22,34.11,34.7,33.8,34.7,25.5317,12190200
2010-04-23,34.66,35.14,34.63,35.01,25.7598,9845960
2010-04-26,35.24,35.47,35.05,35.16,25.8701,7025092
2010-04-27,35.01,35.06,33.88,33.88,24.9283,16039100
2010-04-28,34.2,34.45,33.91,34.29,25.23,16037700
2010-04-29,34.49,34.715,34.34,34.6,25.4581,10018910
2010-04-30,34.7,34.8,33.98,33.99,25.0093,10940890
2010-05-03,34.08,34.24,33.64,33.97,24.9946,11190170
2010-05-04,33.49,33.52,32.56,32.79,24.1263,26986920
2010-05-05,32.28,33.005,32.13,32.55,23.9497,17603131
2010-05-06,32.29,32.92,29.48,31.48,23.1625,27430520
2010-05-07,31.52,32.04,30.66,31.13,22.9049,27338350
2010-05-10,32.39,32.7,32.22,32.61,23.9939,18037381
2010-05-11,32.25,32.66,32.14,32.2,23.6922,14382640
2010-05-12,32.4,32.885,32.34,32.87,24.1852,12932990
2010-05-13,32.79,33.06,32.36,32.38,23.8247,13343660
2010-05-14,32.17,32.17,31.32,31.59,23.2434,20233480
2010-05-17,31.72,31.91,30.83,31.59,23.2434,18783439
2010-05-18,31.87,32.35,31.05,31.05,22.8461,23404461
2010-05-19,30.84,31.145,30.35,31.05,22.8461,23751000
2010-05-20,30.08,30.42,29.61,29.64,21.8086,27631490
2010-05-21,29.15,30.49,29.1,30.37,22.3457,19505150
2010-05-24,30.24,30.48,29.85,29.85,21.9631,13566790
2010-05-25,29.04,30.4,28.87,30.35,22.331,18824570
2010-05-26,30.65,30.875,30.01,30.11,22.1544,13437260
2010-05-27,30.75,31.33,30.35,31.3,23.03,14691330
2010-05-28,31.22,31.27,30.53,30.75,22.6253,14741370
2010-06-01,30.44,30.81,29.71,29.76,21.8969,15771050
2010-06-02,30.0,30.68,29.9,30.68,22.5738,8751706
2010-06-03,30.95,30.95,29.95,30.31,22.3016,12639630
2010-06-04,29.73,29.97,29.04,29.11,21.4186,15357310
2010-06-07,29.13,29.37,28.57,28.59,21.036,12511500
2010-06-08,28.74,29.35,28.55,29.24,21.5143,21834910
2010-06-09,29.63,29.97,29.08,29.28,21.5437,13832970
2010-06-10,29.83,30.33,29.78,30.33,22.3163,10801320
2010-06-11,30.01,30.6701,29.98,30.67,22.5665,7978402
2010-06-14,30.95,31.06,30.32,30.37,22.3457,9101057
2010-06-15,30.64,31.15,30.53,31.12,22.8976,7054736
2010-06-16,30.89,31.26,30.79,31.08,22.8681,6365111
2010-06-17,31.15,31.21,30.52,30.91,22.7431,13689910
2010-06-18,30.84,31.11,30.83,30.95,22.8733,9447875
2010-06-21,31.5,31.8,30.92,31.14,23.0137,12072110
2010-06-22,31.1,31.299,30.37,30.37,22.4446,11843290
2010-06-23,30.41,30.63,29.92,30.43,22.489,10839190
2010-06-24,30.2,30.49,29.65,29.66,21.9199,15760780
2010-06-25,29.78,30.24,29.49,30.1,22.2451,11308010
2010-06-28,30.07,30.18,29.68,29.76,21.9938,12885990
2010-06-29,29.18,29.26,28.535,28.66,21.1809,17029420
2010-06-30,28.63,29.06,28.25,28.37,20.9666,10513570
2010-07-01,28.34,28.62,27.67,28.21,20.8483,16454910
2010-07-02,28.32,28.44,27.8325,28.05,20.7301,9666917
2010-07-06,28.63,28.7,27.8,28.08,20.7522,10072470
2010-07-07,28.1,29.24,28.07,29.2,21.58,11851500
2010-07-08,29.44,29.68,29.1935,29.68,21.9347,8930769
2010-07-09,29.59,30.39,29.59,30.39,22.4594,9444679
2010-07-12,30.41,30.41,29.84,29.99,22.1638,9439113
2010-07-13,30.5,30.89,30.45,30.8,22.7624,10704980
2010-07-14,30.54,30.91,30.37,30.7,22.6885,8638780
2010-07-15,30.73,30.78,30.27,30.67,22.6663,8285642
2010-07-16,30.45,30.6,29.75,29.83,22.0456,12429010
2010-07-19,30.0,30.02,29.55,29.86,22.0677,7614997
2010-07-20,29.43,30.79,29.43,30.76,22.7329,10507560
2010-07-21,31.07,31.23,30.39,30.66,22.659,9379801
2010-07-22,31.01,31.59,30.95,31.32,23.1467,16256120
2010-07-23,31.37,32.05,31.33,32.01,23.6567,14681110
2010-07-26,32.08,32.2,31.875,32.2,23.7971,7497112
2010-07-27,32.4,32.5,31.8,31.94,23.6049,9174812
2010-07-28,31.78,32.07,31.7,31.84,23.531,10534980
2010-07-29,32.05,32.33,31.53,31.81,23.5089,8462751
2010-07-30,31.52,32.13,31.42,32.01,23.6567,8759272
2010-08-02,32.52,32.93,32.441,32.87,24.2922,16477250
2010-08-03,32.55,32.56,32.2,32.27,23.8488,9558479
2010-08-04,32.46,32.6,32.2563,32.57,24.0705,5637799
2010-08-05,32.43,32.6695,32.37,32.64,24.1223,7035261
2010-08-06,32.42,32.84,32.18,32.49,24.0114,8688096
2010-08-09,32.75,32.76,32.4791,32.69,24.1592,6080965
2010-08-10,32.33,32.53,32.01,32.34,23.9005,12725660
2010-08-11,31.71,31.74,31.23,31.25,23.095,17573539
2010-08-12,30.87,31.56,30.86,31.45,23.2428,11524620
2010-08-13,31.33,31.47,31.19,31.3,23.1319,6186015
2010-08-16,31.16,31.64,31.1,31.44,23.2354,6534619
2010-08-17,31.88,32.42,31.88,32.18,23.7823,11975750
2010-08-18,32.15,32.46,31.9001,32.3,23.871,9785282
2010-08-19,32.14,32.27,31.4,31.56,23.3241,12747870
2010-08-20,31.37,31.52,31.19,31.49,23.2724,13961730
2010-08-23,31.63,32.05,31.12,31.14,23.0137,9450527
2010-08-24,30.59,30.83,30.4,30.42,22.4816,14872830
2010-08-25,30.18,30.6,29.88,30.51,22.5481,12782400
2010-08-26,30.8,30.97,30.415,30.47,22.5185,7480441
2010-08-27,30.67,31.4,30.36,31.38,23.1911,10366320
2010-08-30,31.31,31.46,30.91,30.91,22.8437,5066786
2010-08-31,30.72,31.2,30.71,31.04,22.9398,9565299
2010-09-01,31.44,32.04,31.415,31.97,23.6271,12036950
