date,open,high,low,close,adjusted_close,volume
2010-01-04,57.92,58.81,57.79,58.81,37.23,16928449
2010-01-05,58.89,59.41,58.62,59.29,37.5339,17368900
2010-01-06,59.32,60.18,59.1899,60.0,37.9834,24351830
2010-01-07,59.74,60.01,59.3,59.91,37.9264,17450240
2010-01-08,59.7,60.35,59.49,60.3,38.1733,13345040
2010-01-11,60.69,60.87,59.73,60.22,38.1226,19460869
2010-01-12,59.3,59.7099,59.04,59.35,37.5719,21510801
2010-01-13,59.32,59.8,58.52,59.57,37.7112,22137811
2010-01-14,59.56,59.89,59.33,59.74,37.8188,15545340
2010-01-15,59.67,59.8,58.85,59.26,37.5149,19055920
2010-01-19,59.1,59.9,58.99,59.8,37.8568,14613180
2010-01-20,59.16,59.16,58.42,58.87,37.268,15641760
2010-01-21,58.92,59.1,57.53,57.67,36.5083,25206920
2010-01-22,57.39,57.72,56.14,56.3,35.6411,23028650
2010-01-25,56.68,57.22,56.49,56.67,35.8753,15902150
2010-01-26,56.2,57.3,55.92,56.31,35.6474,21515869
2010-01-27,56.15,56.65,55.18,56.09,35.5081,26617641
2010-01-28,56.5,56.62,54.8,55.5,35.1346,34434359
2010-01-29,55.91,56.46,54.22,54.5,34.5016,32803090
2010-02-01,55.15,56.31,55.11,56.3,35.6411,21813279
2010-02-02,56.51,57.14,56.05,57.04,36.1095,22250770
2010-02-03,56.88,57.351,56.42,56.55,35.7993,19749250
2010-02-04,56.1,56.115,54.2,54.23,34.3306,37173441
2010-02-05,54.22,54.48,52.67,54.24,34.337,46378391
2010-02-08,54.25,54.89,53.73,53.74,34.0204,24117461
2010-02-09,54.48,55.56,54.31,54.87,34.7358,33567340
2010-02-10,54.89,54.979,53.78,54.64,34.5902,24183150
2010-02-11,54.53,55.685,54.29,55.57,35.1789,22946170
2010-02-12,54.9,55.62,54.54,55.59,35.1916,19833891
2010-02-16,56.3,57.1,56.2399,56.9,36.0209,19834961
2010-02-17,57.06,57.18,56.44,56.82,35.9702,18137789
2010-02-18,56.76,57.28,56.48,57.14,36.1728,16572869
2010-02-19,56.93,57.565,56.66,57.36,36.3121,16501900
2010-02-22,57.5,57.51,56.45,56.57,35.812,17353080
2010-02-23,56.3,56.44,55.37,55.63,35.2169,21101551
2010-02-24,55.61,56.19,55.44,55.98,35.4385,17630270
2010-02-25,55.18,56.04,54.72,56.01,35.4575,20948090
2010-02-26,56.14,56.34,55.65,56.14,35.5398,17246801
2010-03-01,56.4,56.8,56.35,56.66,35.869,13965990
2010-03-02,57.03,57.56,56.91,57.13,36.1665,16746221
2010-03-03,57.35,57.88,57.35,57.38,36.3248,16767699
2010-03-04,57.47,57.65,56.84,57.08,36.1348,16330900
2010-03-05,57.64,58.28,57.58,58.15,36.8122,15335280
2010-03-08,58.31,58.51,57.815,58.06,36.7552,12618800
2010-03-09,57.75,58.38,57.67,58.06,36.7552,16703740
2010-03-10,58.12,58.65,57.85,58.57,37.0781,17372199
2010-03-11,58.35,58.58,58.17,58.47,37.0148,13037580
2010-03-12,58.85,58.85,58.25,58.5,37.0338,13659780
2010-03-15,58.28,58.36,57.29,57.9,36.6539,18374689
2010-03-16,58.19,58.48,57.73,58.42,36.9831,19161699
2010-03-17,58.71,59.42,58.63,59.06,37.3883,21672900
2010-03-18,59.06,59.15,57.86,58.18,36.8312,19726859
2010-03-19,58.09,58.25,56.7575,57.28,36.3849,22412311
2010-03-22,56.56,57.39,56.33,57.13,36.2896,19856490
2010-03-23,57.26,57.44,56.89,57.35,36.4294,17420869
2010-03-24,56.97,57.52,56.84,57.02,36.2198,20768830
2010-03-25,57.43,57.57,55.97,56.06,35.6099,22122930
2010-03-26,56.25,56.44,55.72,56.08,35.6227,21493811
2010-03-29,56.44,57.28,56.4,57.17,36.315,19477160
2010-03-30,57.3,57.37,56.91,57.26,36.3722,13058280
2010-03-31,57.37,57.78,57.13,57.52,36.5374,15168060
2010-04-01,58.09,58.67,58.04,58.54,37.1853,17990381
2010-04-05,58.9,59.69,58.7,59.58,37.8459,17455939
2010-04-06,59.5,59.78,59.26,59.58,37.8459,13535750
2010-04-07,59.44,59.48,58.65,58.99,37.4711,19536590
2010-04-08,58.55,59.39,58.27,59.2,37.6045,19460289
2010-04-09,59.59,59.93,59.5,59.83,38.0047,17488590
2010-04-12,59.78,60.38,59.76,59.97,38.0936,15032970
2010-04-13,59.89,60.035,59.13,59.76,37.9602,13856440
2010-04-14,60.06,60.38,59.53,60.33,38.3223,14585570
2010-04-15,60.26,60.54,60.07,60.32,38.3159,13947780
2010-04-16,59.98,60.25,58.91,59.3,37.668,36665566
2010-04-19,58.76,59.4,58.58,59.38,37.7188,21149029
2010-04-20,59.83,60.76,59.78,60.54,38.4557,19667410
2010-04-21,60.56,60.93,60.04,60.48,38.4176,18571590
2010-04-22,59.97,60.64,59.52,60.63,38.5129,19383109
2010-04-23,60.65,62.09,60.57,62.09,39.4403,26012289
2010-04-26,62.2,62.2999,61.78,61.88,39.3069,17270221
2010-04-27,61.45,61.91,59.83,59.98,38.1,41402633
2010-04-28,60.39,60.75,59.77,60.59,38.4875,23096480
2010-04-29,60.9,61.39,60.25,60.66,38.5319,28862721
2010-04-30,60.8,60.83,59.53,59.91,38.0555,22916439
2010-05-03,60.17,61.07,59.49,60.59,38.4875,16689830
2010-05-04,59.79,59.84,58.35,58.97,37.4584,30584301
2010-05-05,57.89,58.85,57.52,58.04,36.8677,35206480
2010-05-06,57.52,58.18,52.29,56.0549,35.6067,47200699
2010-05-07,55.9,56.63,54.29,54.99,34.9303,49490887
2010-05-10,57.13,57.56,56.52,57.34,36.423,29716850
2010-05-11,56.74,57.83,56.69,56.96,36.1816,22836789
2010-05-12,57.08,57.94,57.08,57.75,36.6835,18808439
2010-05-13,57.66,58.11,57.11,57.38,36.4484,21117641
2010-05-14,56.85,57.02,55.36,56.24,35.7243,28395609
2010-05-17,56.42,56.58,54.46,55.66,35.3559,31949961
2010-05-18,56.47,56.86,54.91,55.23,35.0827,30676260
2010-05-19,54.91,55.3225,53.66,54.6,34.6825,30109180
2010-05-20,53.2,53.37,52.0,52.16,33.1326,44886566
2010-05-21,51.13,53.19,51.01,53.07,33.7107,40155953
2010-05-24,52.96,53.1,51.78,51.86,32.9421,27414350
2010-05-25,50.47,52.0,50.15,51.98,33.0183,43113980
2010-05-26,52.59,53.075,51.7,51.87,32.9484,29848500
2010-05-27,53.18,54.14,52.99,54.07,34.3459,30306670
2010-05-28,53.94,54.01,52.65,53.05,33.698,26328680
2010-06-01,52.17,52.5425,50.44,50.53,32.0972,36350422
2010-06-02,50.88,52.8,50.79,52.72,33.4883,27650490
2010-06-03,53.27,53.545,52.13,53.43,33.9393,33690168
2010-06-04,52.29,53.4425,51.18,51.55,32.7451,29859900
2010-06-07,51.76,52.36,51.0,51.1,32.4593,24131520
2010-06-08,51.18,52.11,50.69,51.95,32.9992,35094312
2010-06-09,52.47,53.28,51.14,51.41,32.6562,30679850
2010-06-10,52.78,54.1,52.66,53.99,34.2951,25993340
2010-06-11,53.23,54.35,53.23,54.32,34.5047,15163040
2010-06-14,54.99,55.39,54.01,54.04,34.3268,23814539
2010-06-15,54.6,55.7,54.46,55.62,35.3305,17071520
2010-06-16,55.23,55.96,55.0,55.58,35.305,14496260
2010-06-17,55.75,55.75,54.92,55.52,35.2669,17412961
2010-06-18,55.26,55.6981,54.86,55.61,35.4802,13598200
2010-06-21,56.53,56.7,55.07,55.49,35.4037,16625680
2010-06-22,55.45,55.48,53.685,53.87,34.3701,21573830
2010-06-23,53.8,53.85,53.15,53.46,34.1085,17819539
2010-06-24,53.14,53.47,52.1,52.34,33.3939,16955420
2010-06-25,52.42,52.96,51.77,52.49,33.4896,20437680
2010-06-28,52.73,52.73,51.72,51.78,33.0366,15954390
2010-06-29,51.05,51.06,49.7,50.07,31.9456,22493551
2010-06-30,49.99,50.75,49.57,49.68,31.6968,16694020
2010-07-01,49.85,50.13,48.56,49.5,31.5819,25802520
2010-07-02,49.81,50.03,48.96,49.38,31.5054,11419580
2010-07-06,50.24,50.76,49.31,49.86,31.8116,17301199
2010-07-07,50.12,51.66,50.0,51.62,32.9345,18908680
2010-07-08,52.22,52.5,51.4101,52.35,33.4003,14872800
2010-07-09,52.3,52.7,52.08,52.62,33.5725,9112839
2010-07-12,52.42,52.87,51.99,52.48,33.4832,8207334
2010-07-13,53.18,53.51,52.92,53.11,33.8852,14165030
2010-07-14,52.87,53.34,52.5,53.05,33.8469,11942040
2010-07-15,52.98,53.2,52.09,52.99,33.8086,14920700
2010-07-16,52.53,52.73,51.35,51.73,33.0047,18130760
2010-07-19,51.94,52.36,51.51,52.06,33.2153,12541250
2010-07-20,51.32,53.321,51.31,53.25,33.9745,16590369
2010-07-21,53.59,53.59,51.99,52.38,33.4194,22513779
2010-07-22,53.11,54.02,52.955,53.54,34.1595,22992131
2010-07-23,53.42,53.79,52.8,53.78,34.3126,18025730
2010-07-26,53.81,54.34,53.65,54.25,34.6125,11938600
2010-07-27,54.49,54.58,53.52,53.99,34.4466,16409430
2010-07-28,53.86,54.26,53.7,53.87,34.3701,10778070
2010-07-29,54.23,54.72,53.42,53.95,34.4211,14557200
2010-07-30,53.4,54.1225,53.23,53.84,34.3509,11816080
2010-08-02,54.85,55.89,54.77,55.72,35.5504,27578939
2010-08-03,55.49,56.06,55.24,55.7,35.5376,14260190
2010-08-04,55.85,56.27,55.58,56.13,35.812,13107610
2010-08-05,55.76,56.31,55.5,56.31,35.9268,8908661
2010-08-06,55.61,55.92,54.83,55.64,35.4994,18118061
2010-08-09,55.9,56.07,55.53,55.87,35.6461,6714225
2010-08-10,55.22,55.68,54.85,55.41,35.3526,12260470
2010-08-11,54.39,54.47,53.58,53.76,34.2999,18829619
2010-08-12,52.97,53.86,52.9,53.44,34.0957,15263860
2010-08-13,53.32,53.84,53.19,53.35,34.0383,9109435
2010-08-16,53.06,53.49,52.75,53.34,34.0319,10285660
2010-08-17,53.88,54.51,53.62,54.23,34.5998,18017330
2010-08-18,54.08,54.16,53.22,53.71,34.268,18694330
2010-08-19,53.45,53.55,52.54,52.84,33.7129,16499090
2010-08-20,52.55,52.59,51.77,52.19,33.2982,12424770
2010-08-23,52.29,52.72,52.17,52.21,33.311,8176697
2010-08-24,51.5,52.09,51.22,51.4,32.7942,14743770
2010-08-25,51.11,51.395,50.42,51.24,32.6921,19339381
2010-08-26,51.53,51.7,50.495,50.78,32.3986,10982630
2010-08-27,51.08,52.2,50.33,52.1,33.2408,19709000
2010-08-30,52.0,52.24,51.33,51.34,32.7559,9156593
2010-08-31,51.11,51.6,50.81,51.2,32.6666,17578730
2010-09-01,52.05,53.24,51.97,53.11,33.8852,19132869
2010-09-02,53.18,53.65,52.88,53.55,34.1659,9848619
2010-09-03,54.03,54.44,53.75,54.2,34.5806,13253880
2010-09-07,53.79,53.85,53.22,53.39,34.0638,11406920
2010-09-08,53.45,54.12,53.42,53.85,34.3573,9330345
2010-09-09,54.51,54.61,53.76,53.96,34.4275,7836610
2010-09-10,54.28,54.63,54.18,54.52,34.7848,7595274
2010-09-13,55.0,55.07,54.57,54.96,35.0655,9131544
2010-09-14,54.85,55.23,54.54,54.77,34.9443,13977860
2010-09-15,54.4,54.67,54.0898,54.66,34.8741,14112940
2010-09-16,54.39,54.64,54.08,54.41,34.7146,16758789
2010-09-17,54.32,54.41,53.71,53.89,34.5364,14352830
2010-09-20,54.06,55.01,53.82,54.8,35.1196,19424920
2010-09-21,54.87,55.17,54.37,54.84,35.1453,16772369
2010-09-22,54.73,55.37,54.4,54.44,34.8889,16159000
2010-09-23,53.96,54.56,53.82,54.1,34.671,12359930
2010-09-24,54.7,55.5427,54.465,55.27,35.4208,24632461
2010-09-27,55.41,55.595,55.06,55.06,35.2863,10897680
2010-09-28,55.11,55.65,54.55,55.45,35.5362,16579529
2010-09-29,55.36,56.3,55.25,56.04,35.9143,21501350
2010-09-30,56.48,56.75,55.5,56.06,35.9271,23169750
2010-10-01,56.6,56.95,56.26,56.81,36.4078,20009811
2010-10-04,56.54,56.8902,55.68,56.1,35.9528,14752640
2010-10-05,56.71,57.63,56.6,57.42,36.7987,21615779
2010-10-06,57.42,58.11,57.4,57.93,37.1256,14105040
2010-10-07,58.17,58.24,57.21,57.64,36.9397,13562780
2010-10-08,57.59,58.58,57.46,58.36,37.4011,15838750
2010-10-11,58.4,58.82,58.3,58.52,37.5037,8045975
2010-10-12,58.27,58.69,57.63,58.43,37.446,16665090
2010-10-13,58.78,59.4402,58.66,59.14,37.901,14689740
2010-10-14,58.95,59.46,58.57,59.05,37.8433,11502750
2010-10-15,59.38,59.47,58.56,59.21,37.9459,15085910
2010-10-18,59.06,59.81,58.88,59.37,38.0484,10950070
2010-10-19,58.75,58.86,57.7,58.19,37.2922,19289480
2010-10-20,58.39,59.31,58.17,58.94,37.7728,12628590
2010-10-21,59.11,59.581,58.27,58.91,37.7536,13420900
2010-10-22,59.21,59.49,59.02,59.3,38.0035,6558707
2010-10-25,59.76,60.29,59.36,59.46,38.1061,11353950
2010-10-26,59.29,59.65,59.11,59.58,38.183,10693540
2010-10-27,59.04,59.39,58.44,59.33,38.0228,12906060
2010-10-28,59.72,59.87,58.9699,59.2,37.9395,11592580
2010-10-29,58.89,59.3,58.76,59.24,37.9651,9361400
2010-11-01,59.83,60.17,59.07,59.31,38.0099,12024200
2010-11-02,59.75,60.24,59.54,59.9625,38.4281,10227590
2010-11-03,60.16,60.21,59.19,60.09,38.5098,22730449
2010-11-04,60.97,62.02,60.97,62.0,39.7339,19328471
2010-11-05,61.94,62.31,61.7475,62.31,39.9326,14689720
