date,open,high,low,close,adjusted_close,volume
2010-01-04,11.7857,11.9562,11.7613,11.9237,7.2933,75511477
2010-01-05,11.9075,12.1428,11.8912,12.1428,7.4274,78614547
2010-01-06,12.1347,12.2159,12.0454,12.1672,7.4423,61330199
2010-01-07,12.1915,12.5,12.1672,12.4269,7.6011,95757297
2010-01-08,12.362,12.4269,12.2565,12.3539,7.5565,90883188
2010-01-11,12.4756,12.4838,12.2889,12.362,7.5614,59106020
2010-01-12,12.2646,12.3214,12.1023,12.1834,7.4522,111794602
2010-01-13,12.1834,12.362,12.086,12.3214,7.5366,81923820
2010-01-14,12.2808,12.4188,12.2484,12.3782,7.5714,57567781
2010-01-15,12.3052,12.3133,12.1104,12.1266,7.4174,95911805
2010-01-19,12.0779,12.2889,12.013,12.2808,7.5118,81590328
2010-01-20,12.1997,12.3295,12.1185,12.2484,7.4919,80714391
2010-01-21,12.2402,12.3214,11.7695,11.8993,7.2784,251833906
2010-01-22,11.8588,11.9156,11.4448,11.5113,7.0411,211975203
2010-01-25,11.6721,11.7208,11.461,11.5747,7.0798,145733297
2010-01-26,11.5016,11.6883,11.3555,11.3717,6.9557,123314094
2010-01-27,11.4042,11.6721,11.3555,11.6477,7.1245,206884406
2010-01-28,11.737,11.7938,11.4448,11.5909,7.0898,223771906
2010-01-29,11.6721,11.8298,11.4773,11.5097,7.0401,181023391
2010-02-01,11.5828,11.737,11.5828,11.7045,7.1593,126066398
2010-02-02,11.7126,11.8506,11.6657,11.8165,7.2278,109793000
2010-02-03,11.7532,11.8344,11.6558,11.6883,7.1493,106733297
2010-02-04,11.5828,11.599,11.1769,11.1851,6.8415,216808188
2010-02-05,11.25,11.3474,10.9659,11.3149,6.921,256064984
2010-02-08,11.3393,11.3393,11.0714,11.0876,6.7819,107391602
2010-02-09,11.2256,11.2825,11.0389,11.2013,6.8515,154486000
2010-02-10,11.2175,11.4123,11.145,11.2906,6.9061,126093102
2010-02-11,11.2906,11.3717,11.02,11.3149,6.921,74908391
2010-02-12,11.1851,11.323,11.112,11.323,6.9259,101870203
2010-02-16,11.4042,11.5747,11.3312,11.5584,7.0699,109513602
2010-02-17,11.6477,11.6477,11.5422,11.599,7.0947,65864844
2010-02-18,11.5503,11.7045,11.5422,11.6721,7.1394,59802879
2010-02-19,11.599,11.7776,11.5909,11.737,7.1791,59006328
2010-02-22,11.7776,11.9562,11.7613,11.8912,7.2735,69951742
