date,open,high,low,close,adjusted_close,volume
2010-01-04,31.28,31.36,31.01,31.08,18.8361,8217546
2010-01-05,30.99,31.17,30.56,30.71,18.6118,18024381
2010-01-06,30.69,31.0,30.69,30.89,18.7209,12745060
2010-01-07,30.85,30.87,30.6366,30.75,18.6361,6563049
2010-01-08,30.71,30.79,30.52,30.72,18.6179,6267583
2010-01-11,30.8,31.1,30.75,31.04,18.8118,8874544
2010-01-12,30.95,31.16,30.79,30.91,18.733,8327487
2010-01-13,30.99,31.26,30.86,31.25,18.9391,7859429
2010-01-14,31.21,31.29,30.97,31.11,18.8543,4816571
2010-01-15,30.89,31.04,30.58,30.91,18.733,12710630
2010-01-19,30.92,31.3,30.84,31.27,18.9512,5897372
2010-01-20,31.16,31.16,30.655,30.94,18.7512,9519681
2010-01-21,30.98,31.16,30.395,30.49,18.4785,12905220
2010-01-22,30.5,30.5,29.82,29.82,18.0724,12704250
2010-01-25,30.1,30.135,29.75,30.02,18.1937,7476737
2010-01-26,30.0,30.26,29.84,30.14,18.2664,7540864
2010-01-27,30.15,30.15,29.57,29.94,18.1452,14299180
2010-01-28,29.9,30.12,29.55,29.71,18.0058,14063670
2010-01-29,29.71,29.8881,29.48,29.53,17.8967,9572794
2010-02-01,29.56,29.74,29.35,29.72,18.0118,6690427
2010-02-02,29.79,29.98,29.47,29.96,18.1573,6553883
2010-02-03,29.8,29.91,29.655,29.75,18.03,3982400
2010-02-04,29.61,29.67,28.97,28.97,17.5573,7240792
2010-02-05,29.03,29.03,28.46,28.92,17.527,9988243
2010-02-08,28.95,29.12,28.58,28.59,17.327,5124678
2010-02-09,28.84,29.21,28.74,28.88,17.5028,8715252
2010-02-10,28.94,28.94,28.5,28.75,17.424,6572164
2010-02-11,28.78,28.96,28.45,28.92,17.527,8109948
2010-02-12,28.75,28.83,28.55,28.81,17.4603,10063330
2010-02-16,28.85,29.32,28.85,29.31,17.7634,6014368
2010-02-17,29.45,29.49,29.13,29.19,17.6906,6447513
2010-02-18,29.03,29.44,29.0,29.35,17.7876,5526827
2010-02-19,29.31,29.88,29.19,29.76,18.0361,5596572
2010-02-22,29.99,30.06,29.58,29.6,17.9391,5657884
2010-02-23,29.51,29.65,29.3199,29.4,17.8179,5544286
