date,open,high,low,close,adjusted_close,volume
2010-01-04,31.47,31.62,31.27,31.61,24.8356,5580847
2010-01-05,31.56,31.67,31.3,31.3,24.592,5428534
2010-01-06,31.3,31.62,31.3,31.62,24.8434,4883537
2010-01-07,31.5,31.73,31.43,31.73,24.9298,6114696
2010-01-08,31.79,31.81,31.56,31.78,24.9691,4284802
2010-01-11,31.95,32.0,31.8199,31.96,25.1105,4177636
2010-01-12,31.82,31.91,31.61,31.73,24.9298,5791359
2010-01-13,31.81,32.25,31.8,32.15,25.2598,8056066
2010-01-14,32.21,32.45,32.09,32.44,25.4877,7801316
2010-01-15,32.32,32.5,32.03,32.22,25.3148,9692305
2010-01-19,32.33,33.005,32.33,33.0,25.9277,17753699
2010-01-20,33.11,33.16,32.47,32.72,25.7077,16706109
2010-01-21,32.71,32.87,31.98,32.01,25.1498,15058410
2010-01-22,31.91,32.225,31.6,31.66,24.8748,13220940
2010-01-25,31.98,31.98,31.63,31.66,24.8748,7485568
2010-01-26,31.54,31.64,31.31,31.48,24.7334,9292529
2010-01-27,31.37,31.75,31.33,31.7,24.9063,13239720
2010-01-28,31.8,31.84,31.41,31.5,24.7491,12893020
2010-01-29,31.6,31.69,31.28,31.28,24.5763,11901910
2010-02-01,31.33,31.545,31.2,31.46,24.7177,6471171
2010-02-02,31.55,32.12,31.38,32.11,25.2284,9894023
2010-02-03,32.0,32.03,31.58,31.68,24.8906,5967340
2010-02-04,31.42,31.53,30.86,30.88,24.262,10027640
2010-02-05,30.79,30.98,30.27,30.83,24.2227,14325820
2010-02-08,30.85,30.945,30.59,30.68,24.1049,6971447
2010-02-09,31.07,31.2,30.68,30.92,24.2934,8632861
2010-02-10,30.95,30.95,30.49,30.73,24.1442,7047222
2010-02-11,30.53,31.04,30.49,30.94,24.3091,4335547
2010-02-12,30.71,30.93,30.5,30.87,24.2542,6966723
2010-02-16,31.18,31.18,30.82,31.14,24.4663,5786055
2010-02-17,31.25,31.54,31.2,31.38,24.6549,10161540
2010-02-18,31.39,31.55,31.31,31.53,24.7727,5326502
2010-02-19,31.43,31.6,31.345,31.53,24.7727,4369235
2010-02-22,31.64,31.64,31.24,31.44,24.702,6989659
2010-02-23,31.35,31.47,31.08,31.14,24.4663,4313801
2010-02-24,31.23,31.43,31.12,31.37,24.647,4352047
2010-02-25,31.15,31.39,31.0,31.39,24.6627,5437890
2010-02-26,31.44,31.565,31.32,31.4,24.6706,8794422
2010-03-01,31.4,31.81,31.4,31.7,24.9063,6249889
2010-03-02,31.75,31.94,31.71,31.81,24.9927,5321041
2010-03-03,31.96,31.96,31.63,31.68,24.8906,5066760
2010-03-04,31.72,31.74,31.46,31.58,24.812,10135580
2010-03-05,31.65,32.02,31.61,32.02,25.1577,5832149
2010-03-08,32.03,32.03,31.8201,31.83,25.0084,4370672
2010-03-09,31.73,31.89,31.69,31.81,24.9927,4838882
2010-03-10,31.83,31.94,31.78,31.83,25.0084,4063399
2010-03-11,31.82,32.08,31.65,32.08,25.2048,6034456
2010-03-12,32.13,32.13,31.76,31.84,25.0163,4899613
2010-03-15,31.84,32.05,31.78,32.05,25.1813,5500038
2010-03-16,32.05,32.16,31.93,32.14,25.252,5493979
2010-03-17,32.12,32.23,32.0,32.15,25.2598,11159640
2010-03-18,32.15,32.46,32.07,32.37,25.4327,7126249
2010-03-19,32.34,32.45,32.13,32.25,25.4227,8386636
