date,open,high,low,close,adjusted_close,volume
2010-01-04,68.72,69.26,68.19,69.15,40.2277,27811320
2010-01-05,69.19,69.45,68.8,69.42,40.3847,30178590
2010-01-06,69.45,70.6,69.34,70.02,40.7338,35047449
2010-01-07,69.9,70.06,69.415,69.8,40.6058,27194131
2010-01-08,69.69,69.75,69.22,69.52,40.4429,24899480
2010-01-11,69.94,70.52,69.65,70.3,40.8967,30684920
2010-01-12,69.72,69.99,69.52,69.95,40.6931,31497631
2010-01-13,69.96,70.04,69.26,69.67,40.5302,24884990
2010-01-14,69.54,69.74,69.35,69.68,40.536,18637840
2010-01-15,69.65,69.69,68.65,69.11,40.2044,29412820
2010-01-19,68.74,69.35,68.42,69.27,40.2975,26088330
2010-01-20,68.56,68.66,67.9325,68.03,39.5761,34630621
2010-01-21,68.12,68.15,66.5,66.7,38.8024,39118680
2010-01-22,66.52,67.14,66.0,66.1,38.4533,39088367
2010-01-25,66.55,66.76,65.69,65.85,38.3079,29305090
2010-01-26,65.64,66.74,65.5,65.92,38.3486,34084391
2010-01-27,65.66,66.06,65.0,65.54,38.1276,35726238
2010-01-28,65.85,65.85,64.57,64.96,37.7902,37364539
2010-01-29,65.15,65.82,64.02,64.43,37.4818,40880441
2010-02-01,65.77,66.41,65.35,66.18,38.4999,37703000
2010-02-02,66.73,67.12,66.47,66.96,38.9536,34063219
2010-02-03,66.88,67.23,66.56,66.6,38.7442,24024760
2010-02-04,66.27,66.35,64.68,64.72,37.6505,33866320
2010-02-05,64.7,64.9,63.56,64.8,37.6971,42300719
2010-02-08,64.91,65.49,64.34,64.35,37.6795,30520990
2010-02-09,65.11,65.71,64.56,65.2,38.1772,36245594
2010-02-10,65.08,65.22,64.16,64.85,37.9723,21701650
2010-02-11,64.69,65.48,64.41,65.24,38.2006,23559461
2010-02-12,64.62,65.14,64.28,64.8,37.943,30637061
2010-02-16,65.44,66.38,65.08,66.28,38.8096,30518369
2010-02-17,66.34,66.45,65.57,65.76,38.5051,21822730
2010-02-18,65.8,66.09,65.35,65.96,38.6222,22544029
2010-02-19,65.59,66.24,65.43,65.87,38.5695,24265699
2010-02-22,66.1,66.12,65.25,65.4,38.2943,20469689
2010-02-23,65.26,65.56,64.15,64.94,38.025,33377391
2010-02-24,65.01,65.8667,64.77,65.55,38.3822,21470260
2010-02-25,64.61,65.17,64.37,65.14,38.1421,25669109
2010-02-26,65.26,65.4,64.92,65.0,38.0601,20130430
2010-03-01,65.36,65.54,65.09,65.4,38.2943,18798699
2010-03-02,65.66,65.79,65.15,65.49,38.347,24828350
2010-03-03,65.77,65.97,65.38,65.43,38.3119,22285020
2010-03-04,65.35,65.63,65.08,65.4,38.2943,21963420
2010-03-05,65.96,66.52,65.78,66.47,38.9209,26838551
2010-03-08,66.77,66.79,66.23,66.48,38.9267,20300109
2010-03-09,66.32,67.19,66.22,66.78,39.1024,29003051
2010-03-10,67.16,67.415,66.78,67.22,39.36,24811711
2010-03-11,67.39,67.56,66.98,67.22,39.36,19372500
2010-03-12,67.58,67.58,66.5,66.8,39.1141,23362869
2010-03-15,66.67,66.69,65.9,66.3,38.8213,22073721
2010-03-16,66.55,66.68,66.0,66.57,38.9794,35111738
2010-03-17,66.91,67.79,66.8,67.36,39.442,38776078
2010-03-18,67.5,67.74,67.01,67.39,39.4596,25928529
2010-03-19,67.84,67.89,66.43,67.04,39.2546,45564168
2010-03-22,66.49,67.2,66.32,66.97,39.2136,21393090
2010-03-23,66.94,66.98,66.45,66.95,39.2019,24754609
2010-03-24,66.57,66.86,66.23,66.5,38.9384,19754750
2010-03-25,66.81,66.92,66.24,66.3,38.8213,21100301
2010-03-26,66.44,66.88,66.17,66.54,38.9618,30554820
2010-03-29,66.66,67.48,66.59,67.3,39.4069,26128211
2010-03-30,67.19,67.3,66.79,67.05,39.2605,17748461
2010-03-31,66.94,67.19,66.6,66.98,39.2195,22354369
2010-04-01,67.27,67.8,67.19,67.61,39.5884,19619230
2010-04-05,67.84,68.36,67.72,68.19,39.928,20902590
2010-04-06,67.99,68.35,67.8,67.9,39.7582,19776939
2010-04-07,67.83,67.85,66.97,67.34,39.4303,24531961
2010-04-08,67.01,68.225,66.85,67.86,39.7348,24063660
2010-04-09,68.11,68.98,68.07,68.76,40.2617,21099711
2010-04-12,68.8,69.05,68.58,68.71,40.2325,18170590
2010-04-13,68.47,68.76,68.07,68.66,40.2032,19179180
2010-04-14,68.72,68.82,68.36,68.61,40.1739,18787350
2010-04-15,68.5,68.72,68.15,68.26,39.969,16718500
2010-04-16,68.12,68.7,67.71,67.93,39.7757,33866168
2010-04-19,67.75,68.44,67.57,68.23,39.9514,25687211
2010-04-20,68.62,69.22,68.5,68.97,40.3847,22989641
2010-04-21,69.0,69.43,68.57,68.92,40.3554,21120240
2010-04-22,68.52,68.73,68.22,68.56,40.1446,21654619
2010-04-23,68.5,69.27,68.18,69.24,40.5428,24341369
2010-04-26,69.03,69.53,68.93,69.29,40.5721,18238859
2010-04-27,69.01,70.0,68.2,68.27,39.9748,36376941
2010-04-28,68.87,69.54,68.61,69.19,40.5135,33248148
2010-04-29,68.45,69.66,68.24,68.66,40.2032,47204020
2010-04-30,68.9,69.31,67.73,67.77,39.6821,43762031
2010-05-03,68.11,68.22,67.18,67.84,39.723,30740279
2010-05-04,67.15,67.26,66.0,66.47,38.9209,31646811
2010-05-05,65.94,66.94,65.83,66.17,38.7452,30262480
2010-05-06,65.79,66.23,58.46,63.89,37.4102,58336262
2010-05-07,64.5,64.92,63.23,63.7,37.2989,69010812
2010-05-10,65.42,65.75,64.52,65.23,38.1948,38337512
2010-05-11,64.62,65.0,64.23,64.46,38.0002,29802311
2010-05-12,64.64,65.34,64.5,64.91,38.2655,25390811
2010-05-13,64.87,65.27,64.32,64.74,38.1653,26794350
2010-05-14,64.5,64.73,62.91,63.6,37.4933,38815328
2010-05-17,63.74,63.88,62.26,63.27,37.2987,31928920
2010-05-18,64.05,64.27,62.42,62.79,37.0158,34467566
2010-05-19,62.46,62.94,62.0,62.45,36.8153,36725941
2010-05-20,61.47,61.68,60.21,60.33,35.5655,57201199
2010-05-21,59.16,60.95,59.16,60.88,35.8898,52809160
2010-05-24,60.74,61.0,60.13,60.19,35.483,27873510
2010-05-25,58.99,59.78,58.46,59.71,35.2,50541738
2010-05-26,60.08,60.46,59.12,59.31,34.9642,34031879
2010-05-27,60.5,61.55,60.1,61.46,36.2317,31913641
2010-05-28,61.21,61.67,60.28,60.46,35.6422,32081289
2010-06-01,60.38,60.86,59.14,59.25,34.9289,32977398
2010-06-02,59.51,60.8,59.233,60.77,35.8249,28670750
2010-06-03,61.23,62.01,60.6,61.56,36.2907,32385590
2010-06-04,60.74,61.05,59.2895,59.525,35.091,45019191
2010-06-07,59.98,60.41,59.2,59.3,34.9583,28391760
2010-06-08,59.62,61.44,59.38,61.24,36.102,48460641
2010-06-09,61.58,61.6,59.82,60.03,35.3887,31693109
2010-06-10,61.5,62.0,61.16,61.89,36.4852,33020031
2010-06-11,61.68,61.92,61.18,61.86,36.4675,21228430
2010-06-14,62.06,62.46,61.32,61.37,36.1786,24667869
2010-06-15,61.89,62.57,61.49,62.51,36.8507,24534070
2010-06-16,61.97,62.62,61.9,62.51,36.8507,20654230
2010-06-17,62.42,62.7,61.95,62.6,36.9037,23311211
2010-06-18,62.78,63.37,62.4,63.1,37.1985,32749230
2010-06-21,64.1,64.5,62.85,63.13,37.2162,24878330
