date,open,high,low,close,adjusted_close,volume
2010-01-04,35.53,35.65,35.27,35.33,31.6016,1051358
2010-01-05,35.24,35.36,34.73,34.91,31.2259,763311
2010-01-06,35.02,35.34,34.75,35.14,31.4316,1595057
2010-01-07,35.08,35.64,34.88,35.6,31.8431,1096087
2010-01-08,35.56,35.77,35.45,35.6,31.8431,803792
2010-01-11,35.57,36.14,35.27,36.06,32.2545,787205
2010-01-12,35.96,36.07,35.61,35.8,32.022,1002072
2010-01-13,36.01,36.37,35.7,36.3,32.4692,814861
2010-01-14,36.15,36.64,36.0,36.57,32.7107,709986
2010-01-15,36.22,36.74,35.61,35.95,32.1561,879828
2010-01-19,35.56,36.82,35.56,36.52,32.666,581372
2010-01-20,36.46,36.62,35.69,36.13,32.3171,844134
2010-01-21,36.07,36.15,34.75,34.83,31.1543,1731260
2010-01-22,34.73,35.03,34.38,34.44,30.8055,1527104
2010-01-25,34.59,34.66,34.27,34.48,30.8413,705858
2010-01-26,34.32,34.47,34.13,34.23,30.6176,1138446
2010-01-27,34.11,34.23,33.66,34.06,30.4656,1186717
2010-01-28,34.16,34.18,33.29,33.44,29.911,1355888
2010-01-29,33.55,33.96,33.42,33.53,29.9915,1174849
2010-02-01,33.68,33.76,33.38,33.58,30.0362,1025770
2010-02-02,33.53,34.58,33.4,34.51,30.8681,1968958
2010-02-03,34.27,34.28,33.72,33.87,30.2956,1050877
2010-02-04,33.71,33.71,32.77,32.79,29.3296,1113299
2010-02-05,32.86,32.94,32.095,32.69,29.2402,2067301
2010-02-08,32.59,33.37,32.44,33.1,29.6069,1924602
2010-02-09,33.45,34.03,33.17,33.94,30.3582,1643520
2010-02-10,33.82,33.97,33.37,33.79,30.2241,1304520
2010-02-11,32.38,33.23,32.38,33.01,29.5264,2485269
2010-02-12,32.44,32.97,32.23,32.64,29.1954,2325537
2010-02-16,32.87,33.04,32.44,33.01,29.5264,1101049
2010-02-17,33.04,33.19,32.94,33.12,29.6248,1399655
2010-02-18,33.13,33.41,33.07,33.31,29.7947,983360
2010-02-19,33.17,33.29,32.86,32.94,29.4638,1270344
2010-02-22,32.95,33.0,32.7,32.81,29.3475,1299166
2010-02-23,32.7,32.92,32.41,32.83,29.3654,1989252
2010-02-24,32.85,33.05,32.61,33.0,29.5174,1314233
2010-02-25,32.55,33.01,32.53,32.94,29.4638,1177202
2010-02-26,33.0,33.25,32.87,33.09,29.5979,1415012
2010-03-01,33.415,33.66,33.01,33.56,30.0183,783989
2010-03-02,33.64,33.94,33.64,33.84,30.2688,905142
2010-03-03,33.98,34.04,33.74,33.81,30.242,822507
2010-03-04,33.93,34.0,33.73,33.85,30.2777,758812
2010-03-05,33.91,34.34,33.79,34.33,30.7071,867600
2010-03-08,34.22,34.48,34.04,34.29,30.6713,604094
2010-03-09,34.25,34.67,34.05,34.6,30.9486,1180252
2010-03-10,34.51,34.7557,34.5,34.67,31.0112,1148460
2010-03-11,34.6,34.85,34.43,34.8,31.1275,833968
2010-03-12,34.95,34.99,34.575,34.77,31.1007,857304
2010-03-15,34.78,34.9,34.6,34.77,31.1007,723976
2010-03-16,34.7,34.785,34.55,34.63,30.9754,937680
2010-03-17,34.6,34.7492,34.533,34.67,31.0112,948550
2010-03-18,34.98,34.98,34.39,34.45,30.8144,1278004
2010-03-19,34.74,34.74,33.93,34.14,30.5371,2984880
2010-03-22,34.16,34.55,34.08,34.52,30.877,867661
2010-03-23,34.46,34.58,34.19,34.58,30.9307,579388
2010-03-24,34.4,34.56,34.19,34.26,30.6888,589415
2010-03-25,34.71,34.71,34.345,34.39,30.8053,867323
2010-03-26,34.5,34.69,34.13,34.17,30.6082,633085
2010-03-29,34.16,34.53,34.16,34.48,30.8859,414699
2010-03-30,34.47,34.82,34.32,34.8,31.1726,709542
2010-03-31,34.65,35.01,34.61,34.88,31.2442,1342481
2010-04-01,35.01,35.02,34.25,34.48,30.8859,1211042
2010-04-05,34.5,34.85,34.42,34.59,30.9844,492719
2010-04-06,34.36,34.93,34.33,34.86,31.2263,845486
2010-04-07,34.83,34.87,34.29,34.37,30.7874,672943
2010-04-08,34.28,34.43,34.07,34.33,30.7516,571216
2010-04-09,34.29,34.65,34.29,34.64,31.0292,398939
2010-04-12,34.64,34.66,34.36,34.53,30.9307,621869
