Date,Open,High,Low,Close,Adjusted_close,Volume
2017-01-03,115.8,116.33,114.76,116.15,26.9893,115127600
2017-01-04,115.85,116.51,115.75,116.02,26.9591,84472400
2017-01-05,115.92,116.86,115.81,116.61,27.0962,88774400
2017-01-06,116.78,118.16,116.47,117.91,27.3982,127007600
2017-01-09,117.95,119.43,117.94,118.99,27.6492,134247600
2017-01-10,118.77,119.38,118.3,119.11,27.6771,97848400
2017-01-11,118.74,119.93,118.6,119.75,27.8258,110354400
2017-01-12,118.9,119.3,118.21,119.25,27.7096,108344800
2017-01-13,119.11,119.62,118.81,119.04,27.6608,104447600
2017-01-17,118.34,120.24,118.22,120,27.8839,137759200
2017-01-18,120,120.5,119.71,119.99,27.8815,94852000
2017-01-19,119.4,120.09,119.37,119.78,27.8328,102389200
2017-01-20,120.45,120.45,119.73,120,27.8839,130391600
2017-01-23,120,120.81,119.77,120.08,27.9025,88200800
2017-01-24,119.55,120.1,119.5,119.97,27.8769,92844000
2017-01-25,120.42,122.1,120.28,121.88,28.3207,129510400
2017-01-26,121.67,122.44,121.6,121.94,28.3347,105350400
2017-01-27,122.14,122.35,121.6,121.95,28.337,82251600
2017-01-30,120.93,121.63,120.66,121.63,28.2626,121510000
2017-01-31,121.15,121.39,120.62,121.35,28.1976,196804000
2017-02-01,127.03,130.49,127.01,128.75,29.9171,447940000
2017-02-02,127.98,129.39,127.78,128.53,29.866,134841600
2017-02-03,128.31,129.19,128.16,129.08,29.9938,98029200
2017-02-06,129.13,130.5,128.9,130.29,30.2749,107383600
2017-02-07,130.54,132.09,130.45,131.53,30.563,152735200
2017-02-08,131.35,132.22,131.22,132.04,30.6816,92016400
2017-02-09,131.65,132.45,131.12,132.42,30.9033,113399600
2017-02-10,132.46,132.94,132.05,132.12,30.8332,80262000
2017-02-13,133.08,133.82,132.75,133.29,31.1063,92141600
2017-02-14,133.47,135.09,133.25,135.02,31.51,132904800
2017-02-15,135.52,136.27,134.62,135.51,31.6244,142492400
2017-02-16,135.67,135.9,134.84,135.35,31.587,90338400
2017-02-17,135.1,135.83,135.1,135.72,31.6734,88792800
2017-02-21,136.23,136.75,135.98,136.7,31.9021,98028800
2017-02-22,136.43,137.12,136.11,137.11,31.9978,83347600
2017-02-23,137.38,137.48,136.3,136.53,31.8624,83152800
2017-02-24,135.91,136.66,135.28,136.66,31.8928,87106400
2017-02-27,137.14,137.44,136.28,136.93,31.9558,81029600
2017-02-28,137.08,137.44,136.7,136.99,31.9698,93931600
2017-03-01,137.89,140.15,137.6,139.79,32.6232,145658400
2017-03-02,140,140.28,138.76,138.96,32.4295,104844000
2017-03-03,138.78,139.83,138.59,139.78,32.6209,84432400
2017-03-06,139.37,139.77,138.6,139.34,32.5182,87000000
2017-03-07,139.06,139.98,138.79,139.52,32.5602,69785200
2017-03-08,138.95,139.8,138.82,139,32.4389,74828800
2017-03-09,138.74,138.79,137.05,138.68,32.3642,88623600
2017-03-10,139.25,139.36,138.64,139.14,32.4715,78451200
2017-03-13,138.85,139.43,138.82,139.2,32.4855,69686800
2017-03-14,139.3,139.65,138.84,138.99,32.4365,61236400
2017-03-15,139.41,140.75,139.03,140.46,32.7796,102767200
2017-03-16,140.72,141.02,140.26,140.69,32.8333,76928000
2017-03-17,141,141,139.89,139.99,32.6699,175540000
2017-03-20,140.4,141.5,140.23,141.46,33.013,86168000
2017-03-21,142.11,142.8,139.73,139.84,32.6349,158119600
2017-03-22,139.85,141.6,139.76,141.42,33.0036,103440800
2017-03-23,141.26,141.58,140.61,140.92,32.8869,81385200
2017-03-24,141.5,141.74,140.35,140.64,32.8216,89582400
2017-03-27,139.39,141.22,138.62,140.88,32.8776,94300400
2017-03-28,140.91,144.04,140.62,143.8,33.559,133499200
2017-03-29,143.68,144.49,143.19,144.12,33.6337,116760000
2017-03-30,144.19,144.5,143.5,143.93,33.5894,84829200
2017-03-31,143.72,144.27,143.01,143.66,33.5264,78646800
2017-04-03,143.71,144.12,143.05,143.7,33.5357,79942800
2017-04-04,143.25,144.89,143.17,144.77,33.7854,79565600
2017-04-05,144.22,145.46,143.81,144.02,33.6104,110871600
2017-04-06,144.29,144.52,143.45,143.66,33.5264,84596000
2017-04-07,143.73,144.18,143.27,143.34,33.4517,66688800
2017-04-10,143.6,143.88,142.9,143.17,33.412,75733600
2017-04-11,142.94,143.35,140.06,141.63,33.0526,121517600
2017-04-12,141.6,142.15,141.01,141.8,33.0923,81400000
2017-04-13,141.91,142.38,141.05,141.05,32.9173,71291600
2017-04-17,141.48,141.88,140.87,141.83,33.0993,66328400
2017-04-18,141.41,142.04,141.11,141.2,32.9523,58790000
2017-04-19,141.88,142,140.45,140.68,32.8309,69313600
2017-04-20,141.22,142.92,141.16,142.44,33.2417,93278400
2017-04-21,142.44,142.68,141.85,142.27,33.202,69283600
2017-04-24,143.5,143.95,143.18,143.64,33.5217,68537200
2017-04-25,143.91,144.9,143.87,144.53,33.7294,75486000
2017-04-26,144.47,144.6,143.38,143.68,33.531,80164800
2017-04-27,143.92,144.16,143.31,143.79,33.5567,56985200
2017-04-28,144.09,144.3,143.27,143.65,33.524,83441600
2017-05-01,145.1,147.2,144.96,146.58,34.2078,134411600
2017-05-02,147.54,148.09,146.84,147.51,34.4249,181408800
2017-05-03,145.59,147.49,144.27,147.06,34.3198,182788000
2017-05-04,146.52,147.14,145.81,146.53,34.1962,93487600
2017-05-05,146.76,148.98,146.76,148.96,34.7632,109310800
2017-05-08,149.03,153.7,149.03,153.01,35.7084,195009600
2017-05-09,153.87,154.88,153.45,153.99,35.9371,156521600
2017-05-10,153.63,153.94,152.11,153.26,35.7668,103222800
2017-05-11,152.45,154.07,152.31,153.95,36.0761,109020400
2017-05-12,154.7,156.42,154.67,156.1,36.5799,130108000
2017-05-15,156.01,156.65,155.05,155.7,36.4862,104038800
2017-05-16,155.94,156.06,154.72,155.47,36.4323,80194000
2017-05-17,153.6,154.57,149.71,150.25,35.209,203070800
2017-05-18,151.27,153.34,151.13,152.54,35.7457,134272800
2017-05-19,153.38,153.98,152.63,153.06,35.8675,107843200
2017-05-22,154,154.58,152.91,153.99,36.0855,91865600
2017-05-23,154.9,154.9,153.31,153.8,36.0409,79675600
2017-05-24,153.84,154.17,152.67,153.34,35.9331,76712000
2017-05-25,153.73,154.35,153.03,153.87,36.0573,76942400
2017-05-26,154,154.24,153.31,153.61,35.9964,87710400
2017-05-30,153.42,154.43,153.33,153.67,36.0105,80507600
2017-05-31,153.97,154.17,152.38,152.76,35.7972,97804800
2017-06-01,153.17,153.33,152.22,153.18,35.8956,65616400
2017-06-02,153.58,155.45,152.89,155.45,36.4276,111082800
2017-06-05,154.34,154.45,153.46,153.93,36.0714,101326800
2017-06-06,153.9,155.81,153.78,154.45,36.1932,106499600
2017-06-07,155.02,155.98,154.48,155.37,36.4088,84278400
2017-06-08,155.25,155.54,154.4,154.99,36.3198,85003200
2017-06-09,155.19,155.19,146.02,148.98,34.9114,259530800
2017-06-12,145.74,146.09,142.51,145.42,34.0772,289229200
2017-06-13,147.16,147.45,145.15,146.59,34.3514,136661600
2017-06-14,147.5,147.5,143.84,145.16,34.0163,126124800
2017-06-15,143.32,144.48,142.21,144.29,33.8124,128661600
2017-06-16,143.78,144.5,142.2,142.27,33.339,201444400
2017-06-19,143.66,146.74,143.66,146.34,34.2928,130165600
2017-06-20,146.87,146.87,144.94,145.01,33.9811,99600400
2017-06-21,145.52,146.07,144.61,145.87,34.1826,85063200
2017-06-22,145.77,146.7,145.12,145.63,34.1264,76425200
2017-06-23,145.13,147.16,145.11,146.28,34.2787,141757600
2017-06-26,147.17,148.28,145.38,145.82,34.1709,102769600
2017-06-27,145.01,146.16,143.62,143.73,33.6812,99047600
2017-06-28,144.49,146.11,143.16,145.83,34.1733,88329600
2017-06-29,144.71,145.13,142.28,143.68,33.6694,125997600
2017-06-30,144.45,144.96,143.78,144.02,33.7491,92096400
2017-07-03,144.88,145.3,143.1,143.5,33.6273,57111200
2017-07-05,143.69,144.79,142.72,144.09,33.7655,86278400
2017-07-06,143.02,143.5,142.41,142.73,33.4468,96515200
2017-07-07,142.9,144.75,142.9,144.18,33.7866,76806800
2017-07-10,144.11,145.95,143.37,145.06,33.9928,84362400
2017-07-11,144.73,145.85,144.38,145.53,34.103,79127200
2017-07-12,145.87,146.18,144.82,145.74,34.1522,99538000
2017-07-13,145.5,148.49,145.44,147.77,34.6279,100797600
2017-07-14,147.97,149.33,147.33,149.04,34.9255,80528400
2017-07-17,148.82,150.9,148.57,149.56,35.0473,95174000
2017-07-18,149.2,150.13,148.67,150.08,35.1692,71475200
2017-07-19,150.48,151.42,149.95,151.02,35.3895,83692000
2017-07-20,151.5,151.74,150.19,150.34,35.2301,68974800
2017-07-21,149.99,150.44,148.88,150.27,35.2137,105010400
2017-07-24,150.58,152.44,149.9,152.09,35.6402,85972800
2017-07-25,151.8,153.84,151.8,152.74,35.7925,75415600
2017-07-26,153.35,153.93,153.06,153.46,35.9613,63124000
2017-07-27,153.75,153.99,147.3,150.56,35.2817,129905200
2017-07-28,149.89,150.23,149.19,149.5,35.0333,68854800
2017-07-31,149.9,150.33,148.13,148.73,34.8528,79383600
2017-08-01,149.1,150.22,148.41,150.05,35.1622,141474400
2017-08-02,159.28,159.75,156.16,157.14,36.8236,279747200
2017-08-03,157.05,157.21,155.02,155.57,36.4557,108389200
2017-08-04,156.07,157.4,155.69,156.39,36.6479,82239600
2017-08-07,157.06,158.92,156.67,158.81,37.215,87481200
2017-08-08,158.6,161.83,158.27,160.08,37.5126,144823600
2017-08-09,159.26,161.27,159.11,161.06,37.7422,104526000
2017-08-10,159.9,160,154.63,155.32,36.54,163217200
2017-08-11,156.6,158.57,156.07,157.48,37.0482,105028400
2017-08-14,159.32,160.21,158.75,159.85,37.6058,88490800
2017-08-15,160.66,162.2,160.14,161.6,38.0175,117862000
2017-08-16,161.94,162.51,160.15,160.95,37.8645,110686400
2017-08-17,160.52,160.71,157.84,157.86,37.1376,111762400
2017-08-18,157.86,159.5,156.72,157.5,37.0529,109712400
2017-08-21,157.5,157.89,155.11,157.21,36.9847,105474000
2017-08-22,158.23,160,158.02,159.78,37.5893,86418400
2017-08-23,159.07,160.47,158.88,159.98,37.6363,77596400
2017-08-24,160.43,160.74,158.55,159.27,37.4693,79275600
2017-08-25,159.65,160.56,159.27,159.86,37.6081,101920400
2017-08-28,160.14,162,159.93,161.47,37.9869,103864000
2017-08-29,160.1,163.12,160,162.91,38.3256,118067600
2017-08-30,163.8,163.89,162.61,163.35,38.4292,109078400
2017-08-31,163.64,164.52,163.48,164,38.5821,107140400
2017-09-01,164.8,164.94,163.63,164.05,38.5938,66364400
2017-09-05,163.75,164.25,160.56,162.08,38.1304,117874000
2017-09-06,162.71,162.99,160.52,161.91,38.0904,86606800
2017-09-07,162.09,162.24,160.36,161.26,37.9375,87714000
2017-09-08,160.86,161.15,158.53,158.63,37.3187,114446000
2017-09-11,160.5,162.05,159.89,161.5,37.9939,126323200
2017-09-12,162.61,163.96,158.77,160.86,37.8434,286856000
2017-09-13,159.87,159.96,157.91,159.65,37.5587,179629600
2017-09-14,158.99,159.4,158.09,158.28,37.2364,95042800
2017-09-15,158.47,160.97,158,159.88,37.6128,196458400
2017-09-18,160.11,160.5,158,158.67,37.3282,113077600
2017-09-19,159.51,159.77,158.44,158.73,37.3423,83242400
2017-09-20,157.9,158.26,153.83,156.07,36.7165,211805600
2017-09-21,155.8,155.8,152.75,153.39,36.086,150046800
2017-09-22,151.54,152.27,150.56,151.89,35.7331,186581600
2017-09-25,149.99,151.83,149.16,150.55,35.4179,177549200
2017-09-26,151.78,153.92,151.69,153.14,36.0272,146640000
2017-09-27,153.8,154.72,153.54,154.23,36.2836,102016800
2017-09-28,153.89,154.28,152.7,153.28,36.0601,88022000
2017-09-29,153.21,154.13,152,154.12,36.2577,105199200
2017-10-02,154.26,154.45,152.72,153.81,36.1848,74795200
2017-10-03,154.01,155.09,153.91,154.48,36.3424,64921200
2017-10-04,153.63,153.86,152.46,153.48,36.1072,80655200
2017-10-05,154.18,155.44,154.05,155.39,36.5565,85135200
2017-10-06,154.97,155.49,154.56,155.3,36.5353,69630400
2017-10-09,155.81,156.73,155.49,155.84,36.6624,65051600
2017-10-10,156.06,158,155.1,155.9,36.6765,62468000
2017-10-11,155.97,156.98,155.75,156.55,36.8294,67622400
2017-10-12,156.35,157.37,155.73,156,36.7,64500400
2017-10-13,156.73,157.28,156.41,156.99,36.9329,65576800
2017-10-16,157.9,160,157.65,159.88,37.6128,96486000
2017-10-17,159.78,160.87,159.23,160.47,37.7516,75989200
2017-10-18,160.42,160.71,159.6,159.76,37.5846,65496800
2017-10-19,156.75,157.08,155.02,155.98,36.6953,170336800
2017-10-20,156.61,157.75,155.96,156.25,36.7588,95896400
2017-10-23,156.89,157.69,155.5,156.17,36.74,87937200
2017-10-24,156.29,157.42,156.2,157.1,36.9588,71028800
2017-10-25,156.91,157.55,155.27,156.41,36.7965,84828400
2017-10-26,157.23,157.83,156.78,157.41,37.0317,68002000
2017-10-27,159.29,163.6,158.7,163.05,38.3586,177816800
2017-10-30,163.89,168.07,163.72,166.72,39.222,178803200
2017-10-31,167.9,169.65,166.94,169.04,39.7678,144187200
2017-11-01,169.87,169.94,165.61,166.89,39.262,134551200
2017-11-02,166.6,168.5,165.28,168.11,39.549,165573600
2017-11-03,174,174.26,171.12,172.5,40.5818,237594400
2017-11-06,172.37,174.99,171.72,174.25,40.9935,140105200
2017-11-07,173.91,175.25,173.6,174.81,41.1252,97446000
2017-11-08,174.66,176.24,174.33,176.24,41.4616,97638000
2017-11-09,175.11,176.1,173.14,175.88,41.3769,117930400
2017-11-10,175.11,175.38,174.27,174.67,41.24,100582000
2017-11-13,173.5,174.5,173.4,173.97,41.0747,67928400
2017-11-14,173.04,173.48,171.18,171.34,40.4538,99130000
2017-11-15,169.97,170.32,168.38,169.08,39.9202,116632400
2017-11-16,171.18,171.87,170.3,171.1,40.3971,94550000
2017-11-17,171.04,171.39,169.64,170.15,40.1728,87598000
2017-11-20,170.29,170.56,169.56,169.98,40.1327,65049600
2017-11-21,170.78,173.7,170.78,173.14,40.8787,100525200
2017-11-22,173.36,175,173.05,174.96,41.3085,102355600
2017-11-24,175.1,175.5,174.65,174.97,41.3108,56106800
2017-11-27,175.05,175.08,173.34,174.09,41.103,82867200
2017-11-28,174.3,174.87,171.86,173.07,40.8622,105715200
2017-11-29,172.63,172.92,167.16,169.48,40.0146,166665600
2017-11-30,170.43,172.14,168.44,171.85,40.5742,166108800
2017-12-01,169.95,171.67,168.5,171.05,40.3853,159037200
